id	condition	input_sentence	masked	top_fillers	probabilities	dom_prob	dom_rank	def_prob	def_rank	indef_prob	indef_rank
123	animate-human	La cebra que ensució [MASK] turista descansaba plácidamente .	la	['al', 'el', 'a', 'un', 'ao']	[0.9055 0.0709 0.0055 0.0032 0.0019]	0.9055	0	0.0709	1	0.0032	3
124	animate-human	La cabra que empujó [MASK] pastora respiraba velozmente .	la	['la', 'una', 'a', 'esta', 'otra']	[0.8714 0.0543 0.0243 0.0051 0.0049]	0.0243	2	0.8714	0	0.0543	1
125	animate-human	La serpiente que detestaba [MASK] veterinaria entró sigilosamente .	la	['la', 'una', 'el', 'al', 'a']	[0.8921 0.0525 0.0191 0.0071 0.0059]	0.0071	3	0.8921	0	0.0525	1
126	animate-human	La leoparda que oyó [MASK] dueña corrió repentinamente .	la	['la', 'a', 'su', 'al', 'una']	[0.6751 0.0984 0.0565 0.0164 0.0146]	0.0984	1	0.6751	0	0.0146	4
132	animate-human	Las panteras que atacaron [MASK] empleadas descansaban tranquilamente .	las	['las', 'los', 'a', 'sus', 'al']	[0.4686 0.3313 0.0683 0.054  0.0169]	0.0683	2	0.4686	0	0.0004	35
133	animate-human	Las burras que pisaron [MASK] mujeres gruñían claramente .	las	['las', 'estas', 'algunas', 'esas', 'sus']	[0.9592 0.0131 0.0032 0.0031 0.0029]	0.0013	7	0.9592	0	0.0025	5
134	animate-human	Las conejas que olieron [MASK] chicas saltaban continuamente .	las	['las', 'a', 'sus', 'estas', 'unas']	[0.8179 0.0656 0.0133 0.012  0.0095]	0.0656	1	0.8179	0	0.0095	4
135	animate-human	Las gallinas que detestaban [MASK] señoras comían lentamente .	las	['las', 'los', 'sus', 'estas', 'esas']	[0.9581 0.0158 0.0112 0.0025 0.0013]	0.0008	7	0.9581	0	0.0002	15
136	animate-human	Las lobas que empujaron [MASK] ecólogas salieron repentinamente .	las	['las', 'los', 'unas', 'as', 'a']	[0.9378 0.0191 0.0055 0.005  0.0042]	0.0042	4	0.9378	0	0.0055	2
137	animate-human	Los pájaros que miraban [MASK] críos cantaban alegremente .	los	['los', 'a', 'en', 'al', 'sus']	[0.4026 0.2884 0.0546 0.049  0.032 ]	0.2884	1	0.4026	0	0.0016	28
138	animate-human	Los delfines que mataron [MASK] pescadores gemían fuertemente .	los	['los', 'a', 'al', 'el', 'sus']	[0.6519 0.1725 0.0524 0.0139 0.012 ]	0.1725	1	0.6519	0	0.0022	12
139	animate-human	Los cocodrilos que vieron [MASK] asistentes nadaban frenéticamente .	los	['los', 'las', 'sus', 'nos', 'estos']	[0.9893 0.002  0.0014 0.0007 0.0007]	0.0004	5	0.9893	0	0.0001	27
140	animate-human	Los flamencos que escucharon [MASK] ayudantes dormían felizmente .	los	['los', 'sus', 'a', 'con', 'y']	[0.4853 0.1657 0.071  0.0608 0.0557]	0.071	2	0.4853	0	0.0005	36
105	animate-animal	La artista que pisó [MASK] perra andaba sigilosamente .	la	['la', 'una', 'a', 'su', 'esa']	[0.7812 0.1189 0.0187 0.0106 0.0074]	0.0187	2	0.7812	0	0.1189	1
106	animate-animal	La bióloga que abrazó [MASK] gorila sonreía incesantemente .	la	['el', 'al', 'un', 'a', 'la']	[0.6817 0.1391 0.0916 0.0173 0.0103]	0.1391	1	0.6817	0	0.0916	2
107	animate-animal	La voluntaria que tocó [MASK] tortuga bebía continuamente .	la	['la', 'una', 'a', 'esta', 'el']	[0.8929 0.0432 0.0192 0.011  0.0031]	0.0192	2	0.8929	0	0.0432	1
108	animate-animal	La ciclista que vio [MASK] vaca comía distraídamente .	la	['la', 'una', 'a', 'el', 'esta']	[0.8541 0.0975 0.0092 0.0059 0.0024]	0.0092	2	0.8541	0	0.0975	1
109	animate-animal	La granjera que olió [MASK] cerda salió inesperadamente .	la	['la', 'de', 'una', 'en', 'a']	[0.4612 0.1474 0.0498 0.0475 0.0442]	0.0442	4	0.4612	0	0.0498	2
114	animate-animal	Las zoólogas que observaron [MASK] palomas bebían plácidamente .	las	['las', 'los', 'estas', 'sus', 'la']	[0.8139 0.0907 0.0245 0.0152 0.0078]	0.0005	17	0.8139	0	0.001	15
115	animate-animal	Las hermanas que buscaron [MASK] gatas entraron inesperadamente .	las	['los', 'las', 'estos', 'sus', 'a']	[0.6981 0.156  0.0244 0.0203 0.0153]	0.0153	4	0.6981	0	0.0007	25
116	animate-animal	Las niñas que adoraban [MASK] ardillas chillaban alegremente .	las	['las', 'estas', 'sus', 'a', 'Las']	[0.9444 0.0098 0.0081 0.0057 0.0028]	0.0057	3	0.9444	0	0.0019	9
117	animate-animal	Las estudiantes que pegaron [MASK] monas paseaban tristemente .	las	['las', 'a', 'sus', 'unas', 'en']	[0.7588 0.1124 0.0271 0.0094 0.0093]	0.1124	1	0.7588	0	0.0094	3
118	animate-animal	Los payasos que abrazaron [MASK] chimpancés caminaban rápidamente .	los	['los', 'a', 'al', 'el', 'de']	[0.8206 0.0468 0.0393 0.0363 0.008 ]	0.0468	1	0.8206	0	0.001	17
119	animate-animal	Los trabajadores que perseguían [MASK] guepardos corrían velozmente .	los	['los', 'las', 'sus', 'el', 'a']	[0.8764 0.0459 0.0214 0.0161 0.0058]	0.0058	4	0.8764	0	0.0005	19
120	animate-animal	Los niños que ensuciaron [MASK] macacos sonreían frenéticamente .	los	['los', 'sus', 'a', 'de', 'estos']	[0.836  0.0432 0.0301 0.0121 0.0108]	0.0301	2	0.836	0	0.0017	12
