id	input_sentence	masked	top_fillers	probabilities
61	[CLS] Alejandra escuchó a [MASK] música. [SEP]	['la']	[['la', 'su', '[UNK]', 'hacer', 'escuchar']]	[[0.2407 0.0699 0.0649 0.0266 0.0245]]
62	[CLS] Blanca Nieves comió a [MASK] manzana. [SEP]	['la']	[['la', 'una', 'su', 'otra', 'media']]	[[0.6447 0.2077 0.0914 0.011  0.0076]]
63	[CLS] El niño aprendío a [MASK] matemáticas. [SEP]	['las']	[['hacer', 'aprender', 'las', 'usar', 'escribir']]	[[0.2414 0.127  0.0835 0.0675 0.0607]]
64	[CLS] Antonio bebió a [MASK] refresco. [SEP]	['un']	[['un', 'su', 'menudo', 'tomar', 'veces']]	[[0.3654 0.1636 0.1075 0.0332 0.0303]]
65	[CLS] Alfonso arregló a [MASK] bicicleta. [SEP]	['la']	[['la', 'su', 'una', 'mi', 'tu']]	[[0.4531 0.3281 0.0394 0.0371 0.0274]]
66	[CLS] Mafalda leyó al [MASK] [SEP]	['libro.']	[['respecto', 'castellano', 'final', 'español', 'revés']]	[[0.7622 0.026  0.0178 0.0152 0.0132]]
67	[CLS] Los amigos firmaron al [MASK] [SEP]	['papel.']	[['respecto', '.', 'libro', 'artículo', ':']]	[[0.268  0.1337 0.0569 0.0402 0.028 ]]
68	[CLS] El niño tocó a [MASK] planta. [SEP]	['la']	[['la', 'una', 'su', 'media', 'otra']]	[[0.6874 0.1589 0.0406 0.0258 0.022 ]]
69	[CLS] El hombre llevó al [MASK] [SEP]	['paraguas.']	[['hombre', 'niño', 'perro', 'río', 'cabo']]	[[0.2227 0.0802 0.0279 0.0207 0.0187]]
70	[CLS] La niña abrazó al [MASK] [SEP]	['oso.']	[['niño', 'bebé', 'pequeño', 'padre', 'chico']]	[[0.4421 0.1129 0.03   0.026  0.022 ]]
71	[CLS] María besó al [MASK] [SEP]	['arbol.']	[['niño', 'cielo', 'príncipe', 'novio', 'joven']]	[[0.1995 0.0486 0.0381 0.0342 0.027 ]]
72	[CLS] Miguel vio a [MASK] pelota. [SEP]	['la']	[['la', 'una', 'su', 'otra', 'esa']]	[[0.7229 0.1577 0.0404 0.007  0.0051]]
73	[CLS] Los niños visitaron a [MASK] [SEP]	['museo.']	[[':', '.', '[UNK]', 'los', ',']]	[[0.9368 0.0339 0.0071 0.0039 0.003 ]]
74	[CLS] Jimmy Newtron conoció a [MASK] Flags. [SEP]	['Six']	[['[UNK]', 'los', 'The', 'Los', 'Billy']]	[[0.3379 0.0915 0.0533 0.014  0.0092]]
75	[CLS] Julián tocó a [MASK] planta. [SEP]	['la']	[['la', 'una', 'otra', 'cada', 'esa']]	[[0.6709 0.0876 0.0591 0.0327 0.0226]]
76	[CLS] El viejo llevó al [MASK] [SEP]	['paraguas.']	[['niño', 'viejo', 'cabo', 'campo', 'cielo']]	[[0.0588 0.046  0.0437 0.0278 0.0255]]
77	[CLS] La niña abrazó al [MASK] [SEP]	['osito.']	[['niño', 'bebé', 'pequeño', 'padre', 'chico']]	[[0.4421 0.1129 0.03   0.026  0.022 ]]
78	[CLS] Beto besó al [MASK] [SEP]	['trofeo.']	[['niño', 'bebé', 'cielo', 'gato', 'perro']]	[[0.1167 0.0448 0.0375 0.0327 0.0302]]
79	[CLS] Victor vio a [MASK] pelota. [SEP]	['la']	[['la', 'una', 'su', 'esa', 'otra']]	[[0.7544 0.12   0.0522 0.0068 0.0055]]
80	[CLS] Los niños visitaron al [MASK] [SEP]	['museo.']	[['.', '[UNK]', ':', 'niño', 'museo']]	[[0.2403 0.0341 0.0218 0.0183 0.0161]]
83	[CLS] Alfonso arregló a [MASK] bicicleta roja. [SEP]	['la']	[['la', 'su', 'una', 'esta', 'mi']]	[[0.6459 0.1629 0.098  0.0108 0.0087]]
84	[CLS] Antonio bebió a [MASK] coca cola. [SEP]	['la']	[['la', 'escondidas', 'veces', 'menudo', 'propósito']]	[[0.1729 0.1549 0.0939 0.0936 0.0387]]
85	[CLS] Estefanía compró a [MASK] auto. [SEP]	['un']	[['su', 'un', 'este', '[UNK]', 'mi']]	[[0.3477 0.2156 0.0446 0.0202 0.0113]]
87	[CLS] Carlos leyó a [MASK] novela. [SEP]	['una']	[['la', 'su', 'esta', 'una', 'esa']]	[[0.8092 0.0955 0.0355 0.0159 0.0048]]
88	[CLS] Los novios firmaron a [MASK] contrato. [SEP]	['el']	[['un', 'su', 'este', 'través', 'ese']]	[[0.5781 0.0569 0.0413 0.0143 0.012 ]]
