id	input_sentence	masked	top_fillers	probabilities
1	[CLS] Felipe eliminó [MASK] un rehén en pocos segundos. [SEP]	['a']	[['a', 'también', 'rápidamente', 'de', 'solo']]	[[0.9932 0.0011 0.0004 0.0004 0.0003]]
2	[CLS] Amaya neutralizó [MASK] un enemigo en cinco minutos. [SEP]	['a']	[['a', 'rápidamente', 'fácilmente', 'completamente', 'definitivamente']]	[[0.9904 0.0014 0.0007 0.0006 0.0003]]
3	[CLS] Joaquín abatió [MASK] un contrincante en unos minutos. [SEP]	['a']	[['a', 'sobre', 'contra', 'de', 'ante']]	[[0.9794 0.0063 0.005  0.0014 0.001 ]]
4	[CLS] Martina arrolló [MASK] un peatón en cuestión de segundos. [SEP]	['a']	[['a', 'contra', 'por', 'sobre', 'accidentalmente']]	[[0.9979 0.0006 0.0004 0.0003 0.0002]]
5	[CLS] Carlos derribó [MASK] un futbolista en dos segundos. [SEP]	['a']	[['a', 'contra', 'de', 'por', 'sobre']]	[[0.9978 0.0003 0.0002 0.0002 0.0001]]
6	[CLS] Lucía destrozó [MASK] un oponente en dos asaltos. [SEP]	['a']	[['a', 'contra', 'fácilmente', 'ante', 'de']]	[[0.9963 0.0004 0.0003 0.0002 0.0002]]
7	[CLS] Mateo quemó [MASK] una bruja en poco más de media hora. [SEP]	['a']	[['a', 'con', 'viva', 'como', 'también']]	[[0.9863 0.0031 0.0019 0.0011 0.0008]]
8	[CLS] Valentina venció [MASK] un adversario en menos de una hora. [SEP]	['a']	[['a', 'ante', 'contra', 'fácilmente', 'nuevamente']]	[[0.992  0.0013 0.0008 0.0005 0.0003]]
9	[CLS] Luis zarandeó [MASK] un hombre durante algunos minutos. [SEP]	['a']	[['a', 'como', 'con', 'contra', 'de']]	[[0.8395 0.0596 0.0529 0.0105 0.0091]]
10	[CLS] María transportó [MASK] un mochilero durante todo el día. [SEP]	['a']	[['a', 'como', 'con', 'consigo', 'de']]	[[0.9409 0.0255 0.0097 0.0029 0.0017]]
11	[CLS] Lucas arrastró [MASK] un soldado durante un buen rato. [SEP]	['a']	[['a', 'como', 'con', 'de', 'por']]	[[0.9846 0.0054 0.0025 0.0005 0.0004]]
12	[CLS] Claudia maltrató [MASK] una compañera durante varios años. [SEP]	['a']	[['a', 'con', 'de', 'constantemente', 'como']]	[[0.9989 0.0003 0.0001 0.0001 0.    ]]
13	[CLS] Hugo apaleó [MASK] un rebelde durante varios minutos. [SEP]	['a']	[['a', 'con', 'como', 'contra', 'en']]	[[0.9965 0.0008 0.0007 0.0003 0.0003]]
14	[CLS] Carla asedió [MASK] una contrincante durante bastante tiempo. [SEP]	['a']	[['a', 'como', 'con', 'ser', 'contra']]	[[0.9085 0.045  0.0061 0.005  0.0034]]
15	[CLS] Daniel remolcó [MASK] un enfermo durante algunos minutos. [SEP]	['a']	[['a', 'como', 'con', 'por', 'de']]	[[0.8807 0.0828 0.0099 0.0047 0.0019]]
16	[CLS] Coral guio [MASK] un turista durante toda la mañana. [SEP]	['a']	[['a', 'como', 'por', 'con', 'en']]	[[0.9699 0.0097 0.0086 0.0024 0.0012]]
