id	input_sentence	masked	top_fillers	probabilities
157	[CLS] La artista que pisó [MASK] manzana andaba sigilosamente. [SEP]	['la']	[['la', 'esa', 'una', 'aquella', 'esta']]	[[0.8724 0.0349 0.0227 0.0191 0.0186]]
158	[CLS] La bióloga que abrazó [MASK] silla sonreía incesantemente. [SEP]	['la']	[['la', 'su', 'una', 'esta', 'esa']]	[[0.9351 0.0339 0.0108 0.0071 0.0038]]
159	[CLS] La voluntaria que tocó [MASK] mesa bebía continuamente. [SEP]	['la']	[['la', 'esta', 'una', 'aquella', 'esa']]	[[0.9019 0.033  0.0211 0.0125 0.0094]]
160	[CLS] La ciclista que vio [MASK] montaña comía distraídamente. [SEP]	['la']	[['la', 'esta', 'una', 'esa', 'aquella']]	[[0.906  0.0342 0.0277 0.0112 0.0053]]
161	[CLS] La granjera que olió [MASK] cena salió inesperadamente. [SEP]	['la']	[['la', 'su', 'esa', 'mi', 'nuestra']]	[[0.8763 0.0318 0.0153 0.0126 0.012 ]]
166	[CLS] Las zoólogas que observaron [MASK] hoja bebían plácidamente. [SEP]	['las']	[['esta', 'la', 'esa', 'una', 'su']]	[[0.6449 0.2791 0.0177 0.0123 0.0099]]
167	[CLS] Las hermanas que buscaron [MASK] bicicletas entraron inesperadamente. [SEP]	['las']	[['las', 'sus', 'esas', 'estas', 'unas']]	[[0.7676 0.132  0.0204 0.0104 0.0073]]
168	[CLS] Las niñas que adoraban [MASK] fresas chillaban alegremente. [SEP]	['las']	[['las', 'esas', 'sus', 'estas', 'aquellas']]	[[0.9595 0.01   0.0078 0.006  0.0021]]
169	[CLS] Las estudiantes que pegaron [MASK] flores paseaban tristemente. [SEP]	['las']	[['las', 'estas', 'esas', 'sus', 'aquellas']]	[[0.8585 0.0369 0.0331 0.0295 0.0072]]
170	[CLS] Los payasos que abrazaron [MASK] árboles caminaban rápidamente. [SEP]	['los']	[['los', 'estos', 'esos', 'sus', 'ambos']]	[[0.9258 0.019  0.0155 0.0095 0.0033]]
171	[CLS] Los trabajadores que perseguían [MASK] autobuses corrían velozmente. [SEP]	['los']	[['los', 'sus', 'esos', 'estos', 'a']]	[[0.9204 0.0367 0.0135 0.0101 0.0035]]
172	[CLS] Los niños que ensuciaron [MASK] zapatos sonreían frenéticamente. [SEP]	['los']	[['sus', 'los', 'mis', 'nuestros', 'tus']]	[[0.7745 0.1525 0.0402 0.0117 0.0078]]
173	[CLS] Los viejos que oyeron [MASK] aviones respiraban fuertemente. [SEP]	['los']	[['los', 'esos', 'estos', 'sus', 'nuestros']]	[[0.7356 0.1717 0.0178 0.0142 0.0128]]
174	[CLS] Los técnicos que tocaron [MASK] teléfonos andaban distraídamente. [SEP]	['los']	[['los', 'sus', 'esos', 'nuestros', 'estos']]	[[0.9136 0.046  0.0119 0.0105 0.0059]]
