id	input_sentence	masked	top_fillers	probabilities
17	[CLS] Carlos vigiló [MASK] un bebé durante unos minutos. [SEP]	['a']	[['a', 'con', 'de', 'sobre', 'por']]	[[0.6065 0.1408 0.0718 0.0548 0.0178]]
18	[CLS] Irene oyó [MASK] una niña durante horas. [SEP]	['a']	[['a', 'sobre', 'de', 'en', 'con']]	[[0.7956 0.0475 0.0425 0.0222 0.0064]]
19	[CLS] Pablo tuvo [MASK] un ayudante durante varios años. [SEP]	['a']	[['a', 'que', 'con', 'como', 'de']]	[[0.3558 0.0692 0.069  0.0538 0.044 ]]
20	[CLS] Isabel vio [MASK] un estudiante durante toda la mañana. [SEP]	['a']	[['a', 'al', 'ser', 'como', 'en']]	[[0.9726 0.0038 0.0035 0.0032 0.0026]]
21	[CLS] Unai amó [MASK] una joven durante varios años. [SEP]	['a']	[['a', 'de', '##ó', 'con', 'ser']]	[[0.9593 0.0078 0.0025 0.0022 0.0021]]
22	[CLS] Valeria admiró [MASK] un cantante durante toda su vida. [SEP]	['a']	[['ser', 'a', 'como', 'tener', 'es']]	[[0.8309 0.131  0.0063 0.006  0.0058]]
23	[CLS] Adrián percibió [MASK] una mujer durante algunos minutos. [SEP]	['a']	[['a', 'de', 'en', 'como', 'con']]	[[0.5582 0.1538 0.0514 0.0312 0.0306]]
24	[CLS] Emma investigó [MASK] un político durante varias semanas. [SEP]	['a']	[['a', 'sobre', 'de', 'en', 'con']]	[[0.5218 0.2377 0.1054 0.0296 0.0244]]
25	[CLS] Ismael encontró [MASK] un conocido en cuestión de segundos. [SEP]	['a']	[['a', 'con', 'encontró', 'en', 'al']]	[[0.8864 0.0149 0.0077 0.0069 0.006 ]]
26	[CLS] Sofía conoció [MASK] un chico en un par de días. [SEP]	['a']	[['a', 'con', 'en', 'al', 'de']]	[[0.9966 0.0008 0.0004 0.0003 0.0002]]
27	[CLS] Martín detectó [MASK] un intruso en un par de minutos. [SEP]	['a']	[['a', 'también', 'de', 'por', 'nuevamente']]	[[0.5434 0.0491 0.0466 0.0213 0.0165]]
28	[CLS] Elena localizó [MASK] una amiga al cabo de dos horas. [SEP]	['a']	[['a', '##se', 'con', 'de', 'su']]	[[0.9303 0.0052 0.0048 0.0038 0.0031]]
29	[CLS] Alejandro identificó [MASK] un agresor en menos de dos minutos. [SEP]	['a']	[['como', 'a', 'con', '##se', 'al']]	[[0.4416 0.4312 0.0787 0.0116 0.0027]]
30	[CLS] Marta descartó [MASK] un aspirante en un minuto. [SEP]	['a']	[['a', 'de', 'ser', 'como', '##se']]	[[0.9094 0.0268 0.0173 0.0052 0.0051]]
31	[CLS] Samuel descubrió [MASK] un infiltrado en un par de días. [SEP]	['a']	[['a', 'en', 'de', 'que', ',']]	[[0.4494 0.2945 0.0291 0.0198 0.019 ]]
32	[CLS] Alba mencionó [MASK] un actor tras varios minutos de reflexión. [SEP]	['a']	[['a', 'ser', 'como', 'con', '##se']]	[[0.8293 0.0416 0.0218 0.0115 0.01  ]]
