id	sentence	masked	top_fillers	probabilities
33	La cebra que ensució [la turista] descansaba plácidamente.	['la', 'turista']	[['el', 'su', 'la', 'sus', 'al'], ['casa', 'nido', 'tierra', 'suelo', 'camino']]	[[0.29130569100379944, 0.2627952992916107, 0.18266302347183228, 0.06484010070562363, 0.030040213838219643], [0.0565471276640892, 0.038164690136909485, 0.03288794308900833, 0.03091646544635296, 0.028131352737545967]]
34	La cabra que empujó [la pastora] respiraba velozmente.	['la', 'pastora']	[['el', 'al', 'la', 'su', 'a'], ['caballo', 'león', 'toro', 'tronco', 'carro']]	[[0.32057252526283264, 0.22083617746829987, 0.16241984069347382, 0.05281394347548485, 0.04024757072329521], [0.053318750113248825, 0.043847471475601196, 0.029538476839661598, 0.02211742289364338, 0.021928807720541954]]
35	La serpiente que detestaba [la veterinaria] entró sigilosamente.	['la', 'veterinaria']	[['a', 'el', 'la', 'su', 'al'], [',', '[UNK]', '##se', '##la', '##ar']]	[[0.12273779511451721, 0.10906088352203369, 0.08110886812210083, 0.06632248312234879, 0.0534064918756485], [0.07617918401956558, 0.03989740088582039, 0.03522234410047531, 0.025277098640799522, 0.015382037498056889]]
36	La leoparda que oyó [la dueña] corrió repentinamente.	['la', 'dueña']	[['el', 'la', 'su', 'sus', 'sil'], ['ruido', 'grito', 'disparo', 'gritos', 'voz']]	[[0.26487356424331665, 0.17846344411373138, 0.055081095546483994, 0.03261934593319893, 0.02888484112918377], [0.139633908867836, 0.11947155743837357, 0.1094307154417038, 0.0898202508687973, 0.05951977148652077]]
37	El pony que buscaba [jinete] chillaba tristemente.	['jinete']	[[',', 'refugio', 'agua', 'ayuda', '[UNK]']]	[[0.12499654293060303, 0.061387162655591965, 0.05895674601197243, 0.04369501397013664, 0.029678070917725563]]
38	El león que mató [cazador] caminaba lentamente.	['cazador']	[[',', '[UNK]', 'también', 'no', 'él']]	[[0.3178028464317322, 0.15832141041755676, 0.04999537765979767, 0.042465705424547195, 0.018242130056023598]]
39	El caballo que miraba [cuidador] gruñía desconsoladamente.	['cuidador']	[[',', '##ba', 'atrás', '[UNK]', 'no']]	[[0.5479433536529541, 0.04519873112440109, 0.03519963100552559, 0.02127368375658989, 0.013184940442442894]]
40	El tigre que atacó [domador] dormía tranquilamente.	['domador']	[[',', 'no', '[UNK]', 'también', 'ya']]	[[0.20287901163101196, 0.16635411977767944, 0.09646476060152054, 0.037244249135255814, 0.022843878716230392]]
41	El loro que observó [cantante] cantaba claramente.	['cantante']	[['no', ',', 'esto', 'le', 'lo']]	[[0.46758413314819336, 0.15130096673965454, 0.02816479653120041, 0.024266701191663742, 0.020401937887072563]]
42	Las panteras que atacaron [las empleadas] descansaban tranquilamente.	['las', 'empleadas']	[['el', 'la', 'al', 'a', 'su'], ['ciudad', '[UNK]', 'pueblo', 'lugar', 'aldea']]	[[0.19332954287528992, 0.19064398109912872, 0.11125002056360245, 0.08382805436849594, 0.029898736625909805], [0.056236524134874344, 0.054612502455711365, 0.029064346104860306, 0.015419399365782738, 0.014779213815927505]]
43	Las burras que pisaron [las mujeres] gruñían claramente.	['las', 'mujeres']	[['los', 'el', 'la', ',', 'las'], [',', 'caballo', 'tierra', 'perro', 'perros']]	[[0.14832374453544617, 0.12299589812755585, 0.046247322112321854, 0.046157654374837875, 0.039950232952833176], [0.04716040566563606, 0.02418273314833641, 0.0174777302891016, 0.015500190667808056, 0.014593180269002914]]
44	Las conejas que olieron [las chicas] saltaban continuamente.	['las', 'chicas']	[['el', 'la', 'a', 'su', 'sus'], ['olor', '##s', 'veneno', 'sangre', 'perfume']]	[[0.1578134298324585, 0.06960429251194, 0.06392709165811539, 0.0308114904910326, 0.02292562648653984], [0.06404820829629898, 0.04455314949154854, 0.03708720952272415, 0.021177958697080612, 0.019592145457863808]]
45	Las gallinas que detestaban [las señoras] comían lentamente.	['las', 'señoras']	[['el', 'comer', 'la', 'las', 'al'], ['gallinas', 'se', 'carne', 'comida', ',']]	[[0.1741456687450409, 0.12396257370710373, 0.11276236921548843, 0.058757323771715164, 0.028065750375390053], [0.145918607711792, 0.06183221563696861, 0.04319755360484123, 0.041621915996074677, 0.0362548753619194]]
46	Las lobas que empujaron [las ecólogas] salieron repentinamente.	['las', 'ecólogas']	[['el', 'al', 'la', 'las', 'los'], ['barco', 'árbol', 'carro', 'agua', '[UNK]']]	[[0.31075963377952576, 0.258929580450058, 0.16136333346366882, 0.040449317544698715, 0.03645769879221916], [0.03799445927143097, 0.03096788190305233, 0.02754579670727253, 0.0264894962310791, 0.021949635818600655]]
47	Los pájaros que miraban [los críos] cantaban alegremente.	['los', 'críos']	[['al', 'la', 'el', 'hacia', 'a'], ['cielo', 'ella', 'él', ',', 'noche']]	[[0.23785987496376038, 0.15873181819915771, 0.15256372094154358, 0.08860719203948975, 0.04177958145737648], [0.20082920789718628, 0.02523842453956604, 0.022242076694965363, 0.021691272035241127, 0.020737333223223686]]
48	Los delfines que mataron [los pescadores] gemían fuertemente.	['los', 'pescadores']	[['a', 'al', 'en', 'el', 'la'], ['[UNK]', 'ellos', '##mente', 'todos', 'ella']]	[[0.4393434226512909, 0.2968737483024597, 0.018382977694272995, 0.015961183235049248, 0.011541987769305706], [0.22683574259281158, 0.019694237038493156, 0.015185465104877949, 0.011532271280884743, 0.010959789156913757]]
49	Los cocodrilos que vieron [los asistentes] nadaban frenéticamente.	['los', 'asistentes']	[['al', 'el', 'la', 'esta', 'a'], [',', 'noche', '[UNK]', 'tierra', '##s']]	[[0.07149476557970047, 0.0635562613606453, 0.05839129537343979, 0.05806616321206093, 0.05521789938211441], [0.04096319526433945, 0.03681401535868645, 0.03365320712327957, 0.026119563728570938, 0.024674266576766968]]
50	Los flamencos que escucharon [los ayudantes] dormían felizmente.	['los', 'ayudantes']	[['la', 'el', 'esta', 'en', 'este'], ['noche', 'canción', 'música', '##mente', 'canto']]	[[0.1486898511648178, 0.12713956832885742, 0.05405054986476898, 0.03416725620627403, 0.02940419875085354], [0.09827669709920883, 0.0430939719080925, 0.028635259717702866, 0.01834777742624283, 0.01569477841258049]]
