id	sentence	masked_token1	predicted_token1	probability1	predicted_token2	probability2	predicted_token3	probability3	predicted_token4	probability4	predicted_token5	probability5	masked_token2	predicted_token1	probability1	predicted_token2	probability2	predicted_token3	probability3	predicted_token4	probability4	predicted_token5	probability5
17	[CLS] Carlos vigiló a [MASK] [MASK] durante unos minutos. [SEP]	un	la	0.0849	los	0.034	su	0.0328	W	0.0268	las	0.0082	bebé	##a	0.041	##y	0.0201	##o	0.0151	##s	0.0126	##e	0.0118
18	[CLS] Irene oyó a [MASK] [MASK] durante horas. [SEP]	una	su	0.0594	los	0.0463	la	0.0442	sus	0.0359	[UNK]	0.0218	niña	##a	0.0297	padre	0.0142	##s	0.0132	##o	0.0106	##n	0.0105
19	[CLS] Pablo tuvo a [MASK] [MASK] durante varios años. [SEP]	un	su	0.1814	la	0.0387	una	0.0321	sus	0.029	un	0.016	ayudante	##a	0.0494	hijos	0.035	hija	0.0294	familia	0.0212	niña	0.019
20	[CLS] Isabel vio a [MASK] [MASK] durante toda la mañana. [SEP]	un	su	0.0816	la	0.0421	W	0.031	los	0.0264	sus	0.02	estudiante	padre	0.0343	##a	0.0262	madre	0.0224	##y	0.0186	##illiam	0.0136
21	[CLS] Unai amó a [MASK] [MASK] durante varios años. [SEP]	una	su	0.0342	una	0.0319	la	0.0306	Un	0.0232	Una	0.0214	joven	##i	0.1429	##u	0.0589	##a	0.0482	##o	0.0247	madre	0.0125
22	[CLS] Valeria admiró a [MASK] [MASK] durante toda su vida. [SEP]	un	W	0.0295	su	0.0274	Vale	0.0262	la	0.0234	los	0.022	cantante	##a	0.0276	##o	0.0239	##i	0.0199	familia	0.0128	##e	0.0124
23	[CLS] Adrián percibió a [MASK] [MASK] durante algunos minutos. [SEP]	una	la	0.082	su	0.0296	los	0.0195	W	0.013	un	0.0109	mujer	##a	0.0335	##án	0.0151	##i	0.0143	##s	0.0139	##y	0.0135
24	[CLS] Emma investigó a [MASK] [MASK] durante varias semanas. [SEP]	un	la	0.0423	W	0.0399	los	0.0303	su	0.0292	[UNK]	0.0107	político	##a	0.0213	##e	0.0204	##ie	0.0177	##s	0.0169	##son	0.0145
25	[CLS] Ismael encontró a [MASK] [MASK] en cuestión de segundos. [SEP]	un	su	0.0746	la	0.071	un	0.0124	W	0.011	los	0.0097	conocido	##a	0.0437	madre	0.0147	##y	0.0138	##e	0.0128	##o	0.012
26	[CLS] Sofía conoció a [MASK] [MASK] en un par de días. [SEP]	un	W	0.0347	su	0.0256	la	0.0151	[UNK]	0.0151	un	0.0099	chico	##a	0.0332	##y	0.0253	##e	0.0197	##i	0.0193	##o	0.0147
27	[CLS] Martín detectó a [MASK] [MASK] en un par de minutos. [SEP]	un	la	0.0533	los	0.0288	W	0.021	un	0.0172	su	0.0105	intruso	##o	0.0173	##a	0.017	##s	0.0165	##y	0.0126	##i	0.0081
28	[CLS] Elena localizó a [MASK] [MASK] al cabo de dos horas. [SEP]	una	la	0.0404	su	0.0265	los	0.0215	W	0.0177	[UNK]	0.0071	amiga	##a	0.0284	##o	0.0162	##s	0.016	##i	0.0155	##y	0.0119
29	[CLS] Alejandro identificó a [MASK] [MASK] en menos de dos minutos. [SEP]	un	la	0.0933	los	0.0388	su	0.0242	un	0.0223	[UNK]	0.0123	agresor	##a	0.0273	persona	0.0186	##o	0.0167	víctima	0.0159	##s	0.0147
30	[CLS] Marta descartó a [MASK] [MASK] en un minuto. [SEP]	un	la	0.0256	W	0.0187	los	0.018	[UNK]	0.0105	su	0.0099	aspirante	##a	0.0328	##o	0.0218	##y	0.0181	##i	0.0165	##s	0.0164
31	[CLS] Samuel descubrió a [MASK] [MASK] en un par de días. [SEP]	un	la	0.0495	su	0.038	W	0.0347	los	0.0179	[UNK]	0.0117	infiltrado	##a	0.0237	##e	0.02	##y	0.0167	##s	0.0132	##n	0.0104
32	[CLS] Alba mencionó a [MASK] [MASK] tras varios minutos de reflexión. [SEP]	un	la	0.0908	su	0.0566	los	0.019	[UNK]	0.0136	W	0.0104	actor	##a	0.0236	##o	0.0198	##i	0.0195	##y	0.0133	##s	0.0116
