id	input_sentence	masked	top_fillers	probabilities
1	[CLS] Felipe eliminó a [MASK] rehén en pocos segundos. [SEP]	['un']	[['un', 'su', 'la', 'los', 'otro']]	[[0.38022300601005554, 0.20927679538726807, 0.18454262614250183, 0.04326370730996132, 0.041935741901397705]]
2	[CLS] Amaya neutralizó a [MASK] enemigo en cinco minutos. [SEP]	['un']	[['su', 'un', 'nuestro', 'cualquier', 'fuego']]	[[0.8378061056137085, 0.058004554361104965, 0.021334409713745117, 0.015483766794204712, 0.011819522827863693]]
3	[CLS] Joaquín abatió a [MASK] contrincante en unos minutos. [SEP]	['un']	[['su', 'un', 'otro', 'sus', 'cualquier']]	[[0.9351783990859985, 0.03460884839296341, 0.022138826549053192, 0.000993753899820149, 0.0008952929638326168]]
4	[CLS] Martina arrolló a [MASK] peatón en cuestión de segundos. [SEP]	['un']	[['un', 'otro', 'su', 'algún', 'una']]	[[0.969063401222229, 0.022027138620615005, 0.002471506129950285, 0.001399488653987646, 0.0007021350902505219]]
5	[CLS] Carlos derribó a [MASK] futbolista en dos segundos. [SEP]	['un']	[['un', 'la', 'otro', 'este', 'los']]	[[0.7098764181137085, 0.07747618108987808, 0.06828843057155609, 0.021801495924592018, 0.01708502322435379]]
6	[CLS] Lucía destrozó a [MASK] oponente en dos asaltos. [SEP]	['un']	[['su', 'un', 'otro', 'este', 'sus']]	[[0.9786828756332397, 0.014725041575729847, 0.0021343103144317865, 0.000845688336994499, 0.0004938825150020421]]
7	[CLS] Mateo quemó a [MASK] bruja en poco más de media hora. [SEP]	['una']	[['la', 'una', 'su', 'esa', 'esta']]	[[0.8114046454429626, 0.14658258855342865, 0.018814031034708023, 0.006560379173606634, 0.004524911288172007]]
8	[CLS] Valentina venció a [MASK] adversario en menos de una hora. [SEP]	['un']	[['su', 'un', 'otro', 'cada', 'este']]	[[0.9906726479530334, 0.004581227898597717, 0.000986720435321331, 0.0008179715950973332, 0.0006040911539457738]]
9	[CLS] Luis zarandeó a [MASK] hombre durante algunos minutos. [SEP]	['un']	[['su', 'un', 'este', 'ese', 'otro']]	[[0.597102165222168, 0.21420451998710632, 0.07511050999164581, 0.03128322958946228, 0.024487769231200218]]
10	[CLS] María transportó a [MASK] mochilero durante todo el día. [SEP]	['un']	[['su', 'un', 'este', 'cada', 'ese']]	[[0.34347742795944214, 0.21844375133514404, 0.19932253658771515, 0.059683047235012054, 0.040989913046360016]]
11	[CLS] Lucas arrastró a [MASK] soldado durante un buen rato. [SEP]	['un']	[['su', 'un', 'este', 'la', 'ese']]	[[0.29082638025283813, 0.23255860805511475, 0.13413482904434204, 0.08546929061412811, 0.07652436196804047]]
12	[CLS] Claudia maltrató a [MASK] compañera durante varios años. [SEP]	['una']	[['su', 'una', 'la', 'esta', 'esa']]	[[0.9096598029136658, 0.048973746597766876, 0.016306757926940918, 0.010862301103770733, 0.0028334760572761297]]
13	[CLS] Hugo apaleó a [MASK] rebelde durante varios minutos. [SEP]	['un']	[['la', 'un', 'los', 'este', 'su']]	[[0.3152846693992615, 0.23029068112373352, 0.07619919627904892, 0.03699382394552231, 0.021595166996121407]]
14	[CLS] Carla asedió a [MASK] contrincante durante bastante tiempo. [SEP]	['una']	[['su', 'un', 'la', 'una', 'otro']]	[[0.9713717103004456, 0.012529215775430202, 0.0033826609142124653, 0.0022432818077504635, 0.0015122886979952455]]
15	[CLS] Daniel remolcó a [MASK] enfermo durante algunos minutos. [SEP]	['un']	[['un', 'su', 'los', 'la', '[UNK]']]	[[0.17949816584587097, 0.08370733261108398, 0.06334930658340454, 0.05748393386602402, 0.02962416037917137]]
16	[CLS] Coral guio a [MASK] turista durante toda la mañana. [SEP]	['un']	[['cada', 'un', 'la', 'este', 'los']]	[[0.288857638835907, 0.23180413246154785, 0.21809297800064087, 0.10942083597183228, 0.02712615393102169]]
