id	input_sentence	masked	top_fillers	probabilities
61	[CLS] Alejandra escuchó [MASK] música. [SEP]	['la']	[['la', 'su', 'mucha', 'esta', 'esa']]	[[0.3304 0.2416 0.1618 0.0522 0.0515]]
62	[CLS] Blanca Nieves comió [MASK] manzana. [SEP]	['la']	[['una', 'la', 'su', 'otra', 'media']]	[[0.4903 0.3689 0.0509 0.0176 0.0154]]
63	[CLS] El niño aprendío [MASK] matemáticas. [SEP]	['las']	[['las', 'a', 'de', 'en', 'muchas']]	[[0.3534 0.1279 0.0964 0.0725 0.052 ]]
64	[CLS] Antonio bebió [MASK] refresco. [SEP]	['un']	[['un', 'el', 'otro', 'su', 'mucho']]	[[0.7601 0.1105 0.0278 0.0217 0.0169]]
65	[CLS] Alfonso arregló [MASK] bicicleta. [SEP]	['la']	[['la', 'su', 'una', 'mi', 'tu']]	[[0.4338 0.4274 0.0747 0.0297 0.0178]]
66	[CLS] Mafalda leyó [MASK] [SEP]	['libro.']	[['.', ':', 'a', ',', '[UNK]']]	[[0.4743 0.3219 0.0174 0.017  0.0134]]
67	[CLS] Los amigos firmaron [MASK] [SEP]	['papel.']	[[':', '.', 'con', 'en', ',']]	[[0.4863 0.4174 0.0103 0.0068 0.0065]]
68	[CLS] El niño tocó [MASK] planta. [SEP]	['la']	[['la', 'una', 'su', 'otra', 'esta']]	[[0.6914 0.1919 0.0267 0.0178 0.0176]]
69	[CLS] El hombre llevó [MASK] [SEP]	['paraguas.']	[['.', ':', 'consigo', 'a', 'el']]	[[0.1838 0.1385 0.0888 0.0534 0.0219]]
70	[CLS] La niña abrazó [MASK] [SEP]	['oso.']	[['.', ':', 'a', ',', '[UNK]']]	[[0.7016 0.1814 0.0624 0.0102 0.0066]]
71	[CLS] María besó [MASK] [SEP]	['arbol.']	[['.', 'a', ':', ',', 'al']]	[[0.5574 0.1689 0.1248 0.0497 0.0155]]
72	[CLS] Miguel vio [MASK] pelota. [SEP]	['la']	[['la', 'una', 'su', 'esa', 'aquella']]	[[0.8779 0.0762 0.013  0.0081 0.0049]]
73	[CLS] Los niños visitaron [MASK] [SEP]	['museo.']	[[':', '.', '[UNK]', 'a', ',']]	[[0.8287 0.0995 0.014  0.0138 0.0028]]
74	[CLS] Jimmy Newtron conoció [MASK] Flags. [SEP]	['Six']	[['a', '[UNK]', 'The', 'los', 'de']]	[[0.8322 0.023  0.0155 0.0123 0.0114]]
75	[CLS] Julián tocó [MASK] planta. [SEP]	['la']	[['la', 'una', 'otra', 'esta', 'cada']]	[[0.5865 0.1354 0.0372 0.0307 0.0256]]
76	[CLS] El viejo llevó [MASK] [SEP]	['paraguas.']	[['.', 'consigo', ':', ',', 'a']]	[[0.3408 0.1431 0.0485 0.0467 0.0209]]
77	[CLS] La niña abrazó [MASK] [SEP]	['osito.']	[['.', ':', 'a', ',', '[UNK]']]	[[0.7016 0.1814 0.0624 0.0102 0.0066]]
78	[CLS] Beto besó [MASK] [SEP]	['trofeo.']	[['.', 'a', ':', ',', '[UNK]']]	[[0.6415 0.1394 0.101  0.0353 0.0175]]
79	[CLS] Victor vio [MASK] pelota. [SEP]	['la']	[['la', 'una', 'su', 'esa', 'aquella']]	[[0.8949 0.0578 0.0146 0.0095 0.0036]]
80	[CLS] Los niños visitaron [MASK] [SEP]	['museo.']	[[':', '.', '[UNK]', 'a', ',']]	[[0.8287 0.0995 0.014  0.0138 0.0028]]
83	[CLS] Alfonso arregló [MASK] bicicleta roja. [SEP]	['la']	[['la', 'una', 'su', 'esa', 'mi']]	[[0.5784 0.205  0.1791 0.0073 0.0069]]
84	[CLS] Antonio bebió [MASK] coca cola. [SEP]	['la']	[['una', 'mucha', 'la', 'demasiada', 'su']]	[[0.6254 0.1561 0.053  0.0217 0.0146]]
85	[CLS] Estefanía compró [MASK] auto. [SEP]	['un']	[['un', 'el', 'su', 'este', 'otro']]	[[0.5592 0.2901 0.0738 0.0248 0.0217]]
87	[CLS] Carlos leyó [MASK] novela. [SEP]	['una']	[['la', 'su', 'esta', 'una', 'esa']]	[[0.8242 0.1031 0.031  0.0185 0.0078]]
88	[CLS] Los novios firmaron [MASK] contrato. [SEP]	['el']	[['el', 'un', 'su', 'este', 'ese']]	[[0.6691 0.2579 0.0323 0.0123 0.0056]]
