id	input_sentence	masked	top_fillers	probabilities
17	[CLS] Carlos vigiló [MASK] un bebé durante unos minutos. [SEP]	['a']	[['a', 'como', 'con', 'por', 'de']]	[[0.967  0.0093 0.0066 0.003  0.0013]]
18	[CLS] Irene oyó [MASK] una niña durante horas. [SEP]	['a']	[['a', 'de', 'como', 'llorar', 'sobre']]	[[0.7181 0.0595 0.046  0.0325 0.0086]]
19	[CLS] Pablo tuvo [MASK] un ayudante durante varios años. [SEP]	['a']	[['también', 'a', 'allí', 'sólo', 'además']]	[[0.3022 0.2982 0.0603 0.0419 0.0331]]
20	[CLS] Isabel vio [MASK] un estudiante durante toda la mañana. [SEP]	['a']	[['a', 'con', 'como', 'ser', 'sólo']]	[[0.943  0.0119 0.0101 0.0034 0.0021]]
21	[CLS] Unai amó [MASK] una joven durante varios años. [SEP]	['a']	[['a', 'de', 'solo', 'sólo', 'con']]	[[0.996  0.0019 0.0002 0.0002 0.0002]]
22	[CLS] Valeria admiró [MASK] un cantante durante toda su vida. [SEP]	['a']	[['ser', 'a', 'como', 'siendo', 'volverse']]	[[0.888  0.0873 0.0148 0.0012 0.001 ]]
23	[CLS] Adrián percibió [MASK] una mujer durante algunos minutos. [SEP]	['a']	[['a', 'ser', 'como', 'también', 'de']]	[[0.9483 0.0202 0.0076 0.0026 0.0021]]
24	[CLS] Emma investigó [MASK] un político durante varias semanas. [SEP]	['a']	[['a', 'sobre', 'con', 'para', 'por']]	[[0.875  0.0724 0.015  0.0088 0.0082]]
25	[CLS] Ismael encontró [MASK] un conocido en cuestión de segundos. [SEP]	['a']	[['a', 'con', 'finalmente', 'ser', 'allí']]	[[0.9589 0.0304 0.001  0.0008 0.0007]]
26	[CLS] Sofía conoció [MASK] un chico en un par de días. [SEP]	['a']	[['a', 'con', 'de', 'en', 'allí']]	[[0.997  0.0023 0.0001 0.0001 0.    ]]
27	[CLS] Martín detectó [MASK] un intruso en un par de minutos. [SEP]	['a']	[['a', 'nuevamente', 'definitivamente', 'también', 'primero']]	[[0.9694 0.0051 0.0029 0.0017 0.0014]]
28	[CLS] Elena localizó [MASK] una amiga al cabo de dos horas. [SEP]	['a']	[['a', 'con', 'por', 'allí', 'hasta']]	[[0.9913 0.0063 0.0002 0.0002 0.0002]]
29	[CLS] Alejandro identificó [MASK] un agresor en menos de dos minutos. [SEP]	['a']	[['a', 'como', 'definitivamente', 'nuevamente', 'claramente']]	[[0.9923 0.0009 0.0008 0.0005 0.0004]]
30	[CLS] Marta descartó [MASK] un aspirante en un minuto. [SEP]	['a']	[['a', 'ser', 'todo', 'como', 'tener']]	[[0.9505 0.0084 0.0023 0.0022 0.0022]]
31	[CLS] Samuel descubrió [MASK] un infiltrado en un par de días. [SEP]	['a']	[['a', 'de', 'ser', '##ó', 'tener']]	[[0.9813 0.0011 0.0009 0.0009 0.0009]]
32	[CLS] Alba mencionó [MASK] un actor tras varios minutos de reflexión. [SEP]	['a']	[['a', 'ser', 'también', 'tener', 'como']]	[[0.75   0.1271 0.0109 0.0071 0.0066]]
