id	input_sentence	masked	top_fillers	probabilities
17	[CLS] Carlos vigiló a [MASK] bebé durante unos minutos. [SEP]	['un']	[['el', 'su', 'la', 'un', 'Carlos']]	[[0.2172 0.2148 0.1892 0.1311 0.0808]]
18	[CLS] Irene oyó a [MASK] niña durante horas. [SEP]	['una']	[['la', 'una', 'a', 'esta', 'las']]	[[0.9628 0.0178 0.0019 0.0019 0.0015]]
19	[CLS] Pablo tuvo a [MASK] ayudante durante varios años. [SEP]	['un']	[['Pablo', 'un', 'su', 'Pedro', 'la']]	[[0.4015 0.1388 0.0863 0.0286 0.0209]]
20	[CLS] Isabel vio a [MASK] estudiante durante toda la mañana. [SEP]	['un']	[['la', 'un', 'el', 'este', 'una']]	[[0.7834 0.0622 0.0331 0.0263 0.0245]]
21	[CLS] Unai amó a [MASK] joven durante varios años. [SEP]	['una']	[['la', 'un', 'el', 'lo', 'una']]	[[0.6793 0.0668 0.0471 0.0445 0.0374]]
22	[CLS] Valeria admiró a [MASK] cantante durante toda su vida. [SEP]	['un']	[['la', 'una', 'el', 'su', 'Valeria']]	[[0.9316 0.0145 0.0062 0.0046 0.004 ]]
23	[CLS] Adrián percibió a [MASK] mujer durante algunos minutos. [SEP]	['una']	[['la', 'su', 'una', 'otra', 'esta']]	[[0.61   0.3247 0.0423 0.0089 0.0033]]
24	[CLS] Emma investigó a [MASK] político durante varias semanas. [SEP]	['un']	[['partido', 'vista', 'tema', 'lo', 'tipo']]	[[0.1128 0.0484 0.0432 0.036  0.0288]]
25	[CLS] Ismael encontró a [MASK] conocido en cuestión de segundos. [SEP]	['un']	[['un', 'otro', 'lo', 'uno', 'este']]	[[0.4264 0.1739 0.0641 0.0496 0.0457]]
26	[CLS] Sofía conoció a [MASK] chico en un par de días. [SEP]	['un']	[['un', 'otro', 'este', 'el', 'algún']]	[[0.9182 0.035  0.02   0.0054 0.0039]]
27	[CLS] Martín detectó a [MASK] intruso en un par de minutos. [SEP]	['un']	[['este', 'el', 'un', 'otro', 'lo']]	[[0.3667 0.1141 0.1097 0.1067 0.1019]]
28	[CLS] Elena localizó a [MASK] amiga al cabo de dos horas. [SEP]	['una']	[['su', 'la', 'una', 'otra', 'sua']]	[[0.6732 0.1378 0.0938 0.0137 0.0122]]
29	[CLS] Alejandro identificó a [MASK] agresor en menos de dos minutos. [SEP]	['un']	[['Alejandro', 'un', 'el', 'lo', 'este']]	[[0.6923 0.1105 0.0326 0.0305 0.0288]]
30	[CLS] Marta descartó a [MASK] aspirante en un minuto. [SEP]	['un']	[['la', 'una', 'un', 'esa', 'su']]	[[0.4545 0.217  0.1471 0.0247 0.0159]]
31	[CLS] Samuel descubrió a [MASK] infiltrado en un par de días. [SEP]	['un']	[['Samuel', 'un', 'otro', 'lo', 'uno']]	[[0.6431 0.0747 0.0285 0.012  0.0115]]
32	[CLS] Alba mencionó a [MASK] actor tras varios minutos de reflexión. [SEP]	['un']	[['el', 'un', 'al', 'lo', 'su']]	[[0.3798 0.1358 0.0911 0.0875 0.0732]]
