id	sentence	masked_token1	predicted_token1	probability1	predicted_token2	probability2	predicted_token3	probability3	predicted_token4	probability4	predicted_token5	probability5	masked_token2	predicted_token1	probability1	predicted_token2	probability2	predicted_token3	probability3	predicted_token4	probability4	predicted_token5	probability5
19	[CLS] La artista que pisó a [MASK] [MASK] andaba sigilosamente. [SEP]	la	la	0.0622	su	0.033	W	0.0195	los	0.0178	[UNK]	0.0145	perra	##a	0.0249	##i	0.0185	,	0.0159	##s	0.0159	##o	0.0122
20	[CLS] La bióloga que abrazó a [MASK] [MASK] sonreía incesantemente. [SEP]	la	W	0.0438	la	0.0383	su	0.0272	[UNK]	0.015	los	0.0127	gorila	##y	0.0257	##e	0.018	##a	0.0166	##s	0.0156	##i	0.0133
21	[CLS] La voluntaria que tocó a [MASK] [MASK] bebía continuamente. [SEP]	la	la	0.0803	su	0.0198	W	0.0162	los	0.0127	[UNK]	0.0126	tortuga	##la	0.0342	##a	0.0309	##i	0.0194	##y	0.0169	##o	0.0143
22	[CLS] La ciclista que vio a [MASK] [MASK] comía distraídamente. [SEP]	la	la	0.0392	W	0.0183	[UNK]	0.0155	los	0.0116	su	0.0111	vaca	##s	0.0249	##i	0.0225	##o	0.0172	##a	0.0162	##e	0.0153
23	[CLS] La granjera que olió a [MASK] [MASK] salió inesperadamente. [SEP]	la	mo	0.0304	vómi	0.0215	mos	0.0145	can	0.0127	cigarro	0.0101	cerda	##s	0.0669	##a	0.0284	##o	0.0232	##to	0.0142	##co	0.0136
24	[CLS] El entrenador que escuchó al [MASK] nadaba rápidamente. [SEP]	delfín	hombre	0.0349	ruido	0.0304	jugador	0.0301	sonido	0.0288	respecto	0.0223
25	[CLS] El conductor que persiguió al [MASK] paseaba felizmente. [SEP]	camello	coche	0.0832	asesino	0.0663	perro	0.0642	ciclista	0.0453	joven	0.0293
26	[CLS] El hombre que adoraba al [MASK] saltaba incesantemente. [SEP]	canguro	dios	0.112	león	0.0661	toro	0.0605	sol	0.0518	hombre	0.0436
27	[CLS] El amo que pegó al [MASK] gemía desconsoladamente. [SEP]	orangután	perro	0.1116	niño	0.0605	gato	0.0573	bebé	0.0402	muchacho	0.0293
28	[CLS] Las zoólogas que observaron a [MASK] [MASK] bebían plácidamente. [SEP]	las	este	0.1082	los	0.0705	la	0.0542	esta	0.0414	estos	0.0306	palomas	##s	0.022	##urio	0.0219	especie	0.0201	animales	0.0118	##ón	0.0104
29	[CLS] Las hermanas que buscaron a [MASK] [MASK] entraron inesperadamente. [SEP]	las	W	0.0305	la	0.0243	su	0.0182	los	0.009	Dar	0.0074	gatas	##a	0.0512	##e	0.0285	##s	0.0148	##ia	0.0143	##an	0.014
30	[CLS] Las niñas que adoraban a [MASK] [MASK] chillaban alegremente. [SEP]	las	la	0.0485	su	0.0354	los	0.035	W	0.0335	sus	0.0166	ardillas	##a	0.0266	madre	0.0205	##e	0.0169	padre	0.0153	##y	0.0143
31	[CLS] Las estudiantes que pegaron a [MASK] [MASK] paseaban tristemente. [SEP]	las	la	0.0479	los	0.0404	[UNK]	0.034	W	0.0246	su	0.0178	monas	policía	0.0326	##a	0.0229	##o	0.0197	##i	0.0175	##e	0.0152
32	[CLS] Los payasos que abrazaron a [MASK] [MASK] caminaban rápidamente. [SEP]	los	la	0.0778	los	0.0446	W	0.0176	su	0.0154	las	0.0129	chimpancés	##a	0.0366	##y	0.0264	##e	0.0149	##s	0.0142	##ia	0.0128
33	[CLS] Los trabajadores que perseguían a [MASK] [MASK] corrían velozmente. [SEP]	los	los	0.2308	la	0.0875	sus	0.0394	su	0.0287	las	0.027	guepardos	hombres	0.0204	,	0.0186	##a	0.0158	gente	0.0152	policía	0.014
34	[CLS] Los niños que ensuciaron a [MASK] [MASK] sonreían frenéticamente. [SEP]	los	la	0.0561	su	0.0557	los	0.042	W	0.027	sus	0.0236	macacos	##a	0.0327	madre	0.0317	##y	0.0208	##ie	0.0149	##e	0.0137
35	[CLS] Los viejos que oyeron a [MASK] [MASK] respiraban fuertemente. [SEP]	los	la	0.0879	los	0.0636	su	0.0265	[UNK]	0.0161	sus	0.0158	pollos	,	0.0304	##a	0.0266	##o	0.016	##e	0.0109	##u	0.0104
36	[CLS] Los técnicos que tocaron a [MASK] [MASK] andaban distraídamente. [SEP]	los	la	0.2181	los	0.0367	las	0.0177	W	0.0154	su	0.0145	hámsters	banda	0.048	##o	0.0334	##s	0.018	,	0.0172	##a	0.0157
