id	sentence	masked_token1	predicted_token1	probability1	predicted_token2	probability2	predicted_token3	probability3	predicted_token4	probability4	predicted_token5	probability5	masked_token2	predicted_token1	probability1	predicted_token2	probability2	predicted_token3	probability3	predicted_token4	probability4	predicted_token5	probability5
17	[CLS] Carlos vigiló [MASK] [MASK] durante unos minutos. [SEP]	un	la	0.3377	el	0.2749	su	0.0802	al	0.0783	a	0.0628	bebé	casa	0.0813	[UNK]	0.0369	cámara	0.0336	habitación	0.029	puerta	0.0214
18	[CLS] Irene oyó [MASK] [MASK] durante horas. [SEP]	una	el	0.2186	la	0.156	sus	0.0522	su	0.0507	al	0.0353	niña	##s	0.0319	voces	0.023	voz	0.0222	##lo	0.0194	música	0.0179
19	[CLS] Pablo tuvo [MASK] [MASK] durante varios años. [SEP]	un	una	0.126	que	0.0793	un	0.075	relaciones	0.0547	su	0.0328	ayudante	##s	0.0517	hijos	0.027	##cciones	0.0242	relación	0.0193	hijo	0.0162
20	[CLS] Isabel vio [MASK] [MASK] durante toda la mañana. [SEP]	un	a	0.2045	el	0.1413	al	0.1292	la	0.1215	su	0.0516	estudiante	Isabel	0.1116	[UNK]	0.0632	luz	0.0284	fantasma	0.0244	##s	0.0173
21	[CLS] Unai amó [MASK] [MASK] durante varios años. [SEP]	una	a	0.2462	la	0.1373	el	0.1193	al	0.0866	su	0.0776	joven	[UNK]	0.1496	templo	0.0243	familia	0.0199	vida	0.0165	país	0.0147
22	[CLS] Valeria admiró [MASK] [MASK] durante toda su vida. [SEP]	un	a	0.2726	el	0.1084	su	0.097	la	0.0879	al	0.0849	cantante	[UNK]	0.0802	música	0.0605	trabajo	0.0318	libro	0.0237	película	0.0237
23	[CLS] Adrián percibió [MASK] [MASK] durante algunos minutos. [SEP]	una	la	0.2739	el	0.2084	su	0.0816	una	0.0444	un	0.0374	mujer	luz	0.0393	##s	0.0245	dolor	0.0229	respiración	0.0212	presencia	0.0208
24	[CLS] Emma investigó [MASK] [MASK] durante varias semanas. [SEP]	un	el	0.228	la	0.1623	su	0.0662	los	0.0569	al	0.0551	político	caso	0.079	[UNK]	0.0563	historia	0.0552	situación	0.0211	##mente	0.0173
25	[CLS] Ismael encontró [MASK] [MASK] en cuestión de segundos. [SEP]	un	la	0.3133	el	0.2091	su	0.0993	una	0.0598	a	0.0508	conocido	cuerpo	0.0425	[UNK]	0.0398	solución	0.0356	cadáver	0.0149	luz	0.0132
26	[CLS] Sofía conoció [MASK] [MASK] en un par de días. [SEP]	un	a	0.8259	al	0.1153	el	0.0124	la	0.0063	su	0.0049	chico	[UNK]	0.1894	Carlos	0.0141	él	0.0115	David	0.01	Alex	0.0092
27	[CLS] Martín detectó [MASK] [MASK] en un par de minutos. [SEP]	un	la	0.1363	el	0.1164	un	0.092	una	0.0764	su	0.0225	intruso	##s	0.0325	señal	0.0286	##es	0.0127	[UNK]	0.0106	explosión	0.0099
28	[CLS] Elena localizó [MASK] [MASK] al cabo de dos horas. [SEP]	una	el	0.2773	al	0.2284	la	0.2201	a	0.0828	su	0.0587	amiga	cadáver	0.0721	cuerpo	0.0545	[UNK]	0.0388	coche	0.0218	vehículo	0.0171
29	[CLS] Alejandro identificó [MASK] [MASK] en menos de dos minutos. [SEP]	un	al	0.2989	la	0.1788	el	0.1785	a	0.0878	su	0.0484	agresor	cuerpo	0.0492	vehículo	0.044	[UNK]	0.0381	cadáver	0.0299	auto	0.0149
30	[CLS] Marta descartó [MASK] [MASK] en un minuto. [SEP]	un	el	0.2721	la	0.263	su	0.0958	al	0.0349	a	0.0301	aspirante	idea	0.0633	tema	0.0316	posibilidad	0.0149	proyecto	0.0149	pregunta	0.0143
31	[CLS] Samuel descubrió [MASK] [MASK] en un par de días. [SEP]	un	el	0.2315	la	0.2294	una	0.0609	su	0.0553	un	0.0544	infiltrado	[UNK]	0.0247	cuerpo	0.0196	##s	0.0089	luz	0.0084	solución	0.0082
32	[CLS] Alba mencionó [MASK] [MASK] tras varios minutos de reflexión. [SEP]	un	la	0.2657	el	0.1855	su	0.0952	esta	0.074	este	0.0495	actor	tema	0.1321	canción	0.045	nombre	0.0323	idea	0.0253	posibilidad	0.0173
