input	experiment_type	model	filler_type	mean_prob	std_prob	median_prob	mean_rank
hg-2023_affected	dobject-masking-dom-mask_det	BETO	dom	0.0	0.0	0.0	5.0
hg-2023_affected	dobject-masking-dom-mask_det	BETO	def	0.111	0.2031	0.0098	3.0625
hg-2023_affected	dobject-masking-dom-mask_det	BETO	indef	0.2304	0.2567	0.1969	0.75
hg-2023_nonaffected	dobject-masking-dom-mask_det	BETO	dom	0.0	0.0	0.0	5.0
hg-2023_nonaffected	dobject-masking-dom-mask_det	BETO	def	0.2776	0.3381	0.0337	2.625
hg-2023_nonaffected	dobject-masking-dom-mask_det	BETO	indef	0.1986	0.1974	0.1274	1.3125
ms-2013_animate	dobject-masking-dom-mask_det	BETO	dom	0.0	0.0	0.0	5.0
ms-2013_animate	dobject-masking-dom-mask_det	BETO	def	0.3346	0.3223	0.2841	1.875
ms-2013_animate	dobject-masking-dom-mask_det	BETO	indef	0.2091	0.2805	0.0475	2.375
sa-2020_animate	dobject-masking-dom-mask_det	BETO	dom	0.0	0.0	0.0	5.0
sa-2020_animate	dobject-masking-dom-mask_det	BETO	def	0.7685	0.2234	0.8622	0.2593
sa-2020_animate	dobject-masking-dom-mask_det	BETO	indef	0.0237	0.0623	0.0	4.0
re-2021_indefinite	dobject-masking-dom-mask_det	BETO	dom	0.0	0.0	0.0	5.0
re-2021_indefinite	dobject-masking-dom-mask_det	BETO	def	0.0466	0.0851	0.0108	3.625
re-2021_indefinite	dobject-masking-dom-mask_det	BETO	indef	0.5436	0.249	0.6419	0.625
self-re_definite	dobject-masking-dom-mask_det	BETO	dom	0.0	0.0	0.0	5.0
self-re_definite	dobject-masking-dom-mask_det	BETO	def	0.404	0.3154	0.3493	0.625
self-re_definite	dobject-masking-dom-mask_det	BETO	indef	0.2039	0.2707	0.0949	1.625
self-re_indefinite	dobject-masking-dom-mask_det	BETO	dom	0.0	0.0	0.0	5.0
self-re_indefinite	dobject-masking-dom-mask_det	BETO	def	0.3402	0.2234	0.3651	1.0
self-re_indefinite	dobject-masking-dom-mask_det	BETO	indef	0.3069	0.1901	0.3268	1.0
self-sa_inanimate	dobject-masking-dom-mask_det	BETO	dom	0.0	0.0	0.0	5.0
self-sa_inanimate	dobject-masking-dom-mask_det	BETO	def	0.6962	0.2632	0.7712	0.1429
self-sa_inanimate	dobject-masking-dom-mask_det	BETO	indef	0.0127	0.0173	0.0	3.7857
