id	input_sentence	masked	top_fillers	probabilities
1	[CLS] Felipe eliminó a un [MASK] en pocos segundos. [SEP]	['rehén']	[['jugador', 'hombre', 'venezolano', 'rival', 'español']]	[[0.10940347611904144, 0.05301866680383682, 0.04116025194525719, 0.03046031855046749, 0.02820543758571148]]
2	[CLS] Amaya neutralizó a un [MASK] en cinco minutos. [SEP]	['enemigo']	[['enemigo', 'terrorista', 'policía', 'hombre', '[UNK]']]	[[0.0669102817773819, 0.060957662761211395, 0.04457474872469902, 0.04410453513264656, 0.04014557600021362]]
3	[CLS] Joaquín abatió a un [MASK] en unos minutos. [SEP]	['contrincante']	[['hombre', 'policía', 'niño', 'soldado', 'sospechoso']]	[[0.1517261266708374, 0.07078585773706436, 0.03061903454363346, 0.030036859214305878, 0.023197276517748833]]
4	[CLS] Martina arrolló a un [MASK] en cuestión de segundos. [SEP]	['peatón']	[['hombre', 'niño', 'ciclista', 'árbol', 'policía']]	[[0.08273329585790634, 0.06167202442884445, 0.03652413561940193, 0.03292632848024368, 0.030122024938464165]]
5	[CLS] Carlos derribó a un [MASK] en dos segundos. [SEP]	['futbolista']	[['hombre', 'jugador', 'rival', 'oponente', '[UNK]']]	[[0.11061488091945648, 0.035259317606687546, 0.03343605622649193, 0.028586342930793762, 0.024568909779191017]]
6	[CLS] Lucía destrozó a un [MASK] en dos asaltos. [SEP]	['oponente']	[['rival', 'compañero', 'árbitro', 'hombre', 'oponente']]	[[0.14666177332401276, 0.05815982073545456, 0.053337883204221725, 0.053233809769153595, 0.04755084961652756]]
7	[CLS] Mateo quemó a una [MASK] en poco más de media hora. [SEP]	['bruja']	[['mujer', 'persona', 'niña', 'chica', 'familia']]	[[0.17735381424427032, 0.09647683054208755, 0.09229063987731934, 0.05157402902841568, 0.05135959014296532]]
8	[CLS] Valentina venció a un [MASK] en menos de una hora. [SEP]	['adversario']	[['hombre', 'caballo', 'desconocido', '[UNK]', 'equipo']]	[[0.11224956810474396, 0.048172477632761, 0.02930065430700779, 0.02648780308663845, 0.02206580340862274]]
9	[CLS] Luis zarandeó a un [MASK] durante algunos minutos. [SEP]	['hombre']	[['caballo', 'niño', 'perro', 'hombre', 'bebé']]	[[0.15109235048294067, 0.07862375676631927, 0.07043984532356262, 0.048360176384449005, 0.022896841168403625]]
10	[CLS] María transportó a un [MASK] durante todo el día. [SEP]	['mochilero']	[['niño', 'bebé', 'hombre', 'grupo', 'amigo']]	[[0.29083937406539917, 0.23417074978351593, 0.06327879428863525, 0.02501542493700981, 0.019689077511429787]]
11	[CLS] Lucas arrastró a un [MASK] durante un buen rato. [SEP]	['soldado']	[['perro', 'niño', 'bebé', 'chico', 'amigo']]	[[0.1563432514667511, 0.11287862807512283, 0.05748744681477547, 0.05584077164530754, 0.04774811491370201]]
12	[CLS] Claudia maltrató a una [MASK] durante varios años. [SEP]	['compañera']	[['niña', 'mujer', 'chica', 'joven', 'amiga']]	[[0.29013922810554504, 0.12399985641241074, 0.06250572204589844, 0.04360145702958107, 0.03839673474431038]]
13	[CLS] Hugo apaleó a un [MASK] durante varios minutos. [SEP]	['rebelde']	[['niño', 'perro', 'caballo', 'hombre', 'amigo']]	[[0.1379566341638565, 0.05264910310506821, 0.05230503901839256, 0.05050184205174446, 0.03129436448216438]]
14	[CLS] Carla asedió a una [MASK] durante bastante tiempo. [SEP]	['contrincante']	[['niña', 'mujer', 'anciana', 'chica', 'familia']]	[[0.14666345715522766, 0.12108884006738663, 0.07101311534643173, 0.06362448632717133, 0.04347055032849312]]
15	[CLS] Daniel remolcó a un [MASK] durante algunos minutos. [SEP]	['enfermo']	[['niño', 'coche', 'camión', 'vehículo', 'perro']]	[[0.04944462701678276, 0.049078844487667084, 0.045208681374788284, 0.04455874487757683, 0.04053078964352608]]
16	[CLS] Coral guio a un [MASK] durante toda la mañana. [SEP]	['turista']	[['grupo', 'niño', 'hombre', 'bebé', 'perro']]	[[0.09579633921384811, 0.09147901087999344, 0.07577890157699585, 0.05926884338259697, 0.04485835134983063]]
