id	input_sentence	masked	top_fillers	probabilities
157	[CLS] La artista que pisó a [MASK] manzana andaba sigilosamente. [SEP]	['la']	[['la', 'una', 'esta', 'esa', 'otra']]	[[0.8464 0.1127 0.0106 0.0051 0.0043]]
158	[CLS] La bióloga que abrazó a [MASK] silla sonreía incesantemente. [SEP]	['la']	[['la', 'una', 'esta', 'las', 'esa']]	[[0.9271 0.039  0.0072 0.0028 0.0028]]
159	[CLS] La voluntaria que tocó a [MASK] mesa bebía continuamente. [SEP]	['la']	[['la', 'esta', 'una', 'esa', 'La']]	[[0.9657 0.0157 0.0087 0.0016 0.0006]]
160	[CLS] La ciclista que vio a [MASK] montaña comía distraídamente. [SEP]	['la']	[['la', 'una', 'esta', 'esa', 'las']]	[[0.913  0.0301 0.0077 0.0048 0.0034]]
161	[CLS] La granjera que olió a [MASK] cena salió inesperadamente. [SEP]	['la']	[['la', 'una', 'esta', 'esa', 'alguna']]	[[0.9129 0.0499 0.0112 0.0042 0.0018]]
166	[CLS] Las zoólogas que observaron a [MASK] hoja bebían plácidamente. [SEP]	['las']	[['la', 'esta', 'una', 'las', 'su']]	[[0.9509 0.0116 0.0084 0.0064 0.0026]]
167	[CLS] Las hermanas que buscaron a [MASK] bicicletas entraron inesperadamente. [SEP]	['las']	[['las', 'sus', 'estas', 'los', 'esas']]	[[0.9598 0.0215 0.0064 0.0044 0.001 ]]
168	[CLS] Las niñas que adoraban a [MASK] fresas chillaban alegremente. [SEP]	['las']	[['las', 'estas', 'sus', 'los', 'esas']]	[[0.9251 0.0274 0.0138 0.0043 0.0039]]
169	[CLS] Las estudiantes que pegaron a [MASK] flores paseaban tristemente. [SEP]	['las']	[['las', 'estas', 'sus', 'esas', 'unas']]	[[0.9477 0.0196 0.0049 0.0048 0.0029]]
170	[CLS] Los payasos que abrazaron a [MASK] árboles caminaban rápidamente. [SEP]	['los']	[['los', 'estos', 'esos', 'sus', 'las']]	[[0.9678 0.008  0.0069 0.0035 0.0019]]
171	[CLS] Los trabajadores que perseguían a [MASK] autobuses corrían velozmente. [SEP]	['los']	[['los', 'estos', 'sus', 'esos', 'las']]	[[0.9648 0.0168 0.0046 0.0031 0.0015]]
172	[CLS] Los niños que ensuciaron a [MASK] zapatos sonreían frenéticamente. [SEP]	['los']	[['los', 'sus', 'estos', 'esos', 'nuestros']]	[[0.8204 0.1413 0.0123 0.006  0.0024]]
173	[CLS] Los viejos que oyeron a [MASK] aviones respiraban fuertemente. [SEP]	['los']	[['los', 'estos', 'esos', 'sus', 'aquellos']]	[[0.8535 0.0527 0.0208 0.0193 0.006 ]]
174	[CLS] Los técnicos que tocaron a [MASK] teléfonos andaban distraídamente. [SEP]	['los']	[['los', 'estos', 'sus', 'esos', 'dichos']]	[[0.941  0.0217 0.0171 0.0073 0.0026]]
