id	condition	input_sentence	score_dom	score_unmarked	discrepancy
141	definite	Gonzalo mató (a) la mujer en el parque.	0.194	0.099	0.0950496643781662
142	definite	Patricio lesionó (a) la camarera en la discoteca.	0.2086	0.1162	0.09244588017463684
143	definite	Carolina golpeó (a) la jugadora en el vestuario.	0.2123	0.1159	0.09646482765674591
144	definite	Elena cuidó (a) la paciente durante dos semanas.	0.1066	0.1149	-0.008321158587932587
145	definite	Irene acusó (a) la secretaria general en la asamblea.	0.1688	0.0881	0.08064865320920944
146	definite	Cecilia denunció (a) la mujer en la comisaría de policía.	0.1674	0.0844	0.08301710337400436
147	definite	Josefina vio (a) la pastora en el parque.	0.1882	0.0919	0.09625507891178131
148	definite	Julio oyó (a) la madre desde la cocina.	0.2018	0.1084	0.09341717511415482
149	indefinite	Pablo mató (a) una mujer durante el secuestro.	0.1887	0.0914	0.09731990098953247
150	indefinite	Alberto lesionó (a) una adversaria en el partido de la semana pasada.	0.1351	0.0769	0.05821543186903
151	indefinite	Andrea golpeó (a) una fotógrafa (a) la salida del restaurante.	0.2341	0.1022	0.13192586600780487
152	indefinite	Javier cuidó (a) una paciente con gran profesionalidad.	0.0984	0.1096	-0.01117580384016037
153	indefinite	Laura acusó (a) una trabajadora en la reunión.	0.1747	0.0935	0.08125553280115128
154	indefinite	Carlos denunció (a) una camarera tras una disputa.	0.2038	0.1111	0.09275934100151062
155	indefinite	Ana vio (a) una política en la tienda del barrio.	0.0906	0.0956	-0.005013026297092438
156	indefinite	Esther oyó (a) una niña en el apartamento de al/el lado.	0.1554	0.0788	0.07664170116186142
