id	condition	input_sentence	masked	top_fillers	probabilities	dom_prob	dom_rank	def_prob	def_rank	indef_prob	indef_rank
1	affected	Felipe eliminó un rehén en pocos segundos.	un	['el', 'al', 'un', 'del', 'su']	[0.473  0.4094 0.0355 0.0227 0.0131]	0.4094	1	0.473	0	0.0355	2
2	affected	Amaya neutralizó un enemigo en cinco minutos.	un	['el', 'al', 'su', 'lo', 'este']	[0.7396 0.1984 0.0268 0.0053 0.0049]	0.1984	1	0.7396	0	0.0021	6
3	affected	Joaquín abatió un contrincante en unos minutos.	un	['al', 'el', 'un', 'su', 'a']	[0.5195 0.3974 0.018  0.0155 0.0104]	0.5195	0	0.3974	1	0.018	2
4	affected	Martina arrolló un peatón en cuestión de segundos.	un	['el', 'en', 'al', 'un', 'su']	[0.6011 0.0912 0.0902 0.0718 0.0323]	0.0902	2	0.6011	0	0.0718	3
5	affected	Carlos derribó un futbolista en dos segundos.	un	['al', 'como', 'a', 'ao', 'el']	[0.5637 0.1274 0.0982 0.0813 0.0204]	0.5637	0	0.0204	4	0.0106	7
6	affected	Lucía destrozó un oponente en dos asaltos.	un	['al', 'el', 'su', 'a', 'un']	[0.6856 0.1922 0.0503 0.0197 0.0078]	0.6856	0	0.1922	1	0.0078	4
7	affected	Mateo quemó una bruja en poco más de media hora.	una	['la', 'una', 'a', 'su', 'el']	[0.9273 0.034  0.0067 0.0035 0.0034]	0.0067	2	0.9273	0	0.034	1
8	affected	Valentina venció un adversario en menos de una hora.	un	['al', 'el', 'su', 'ao', 'a']	[0.9327 0.0217 0.0106 0.0088 0.0051]	0.9327	0	0.0217	1	0.0032	6
9	affected	Luis zarandeó un hombre durante algunos minutos.	un	['al', 'el', 'un', 'a', 'del']	[0.7198 0.2057 0.015  0.0142 0.0138]	0.7198	0	0.2057	1	0.015	2
10	affected	María transportó un mochilero durante todo el día.	un	['el', 'un', 'al', 'su', 'este']	[0.8538 0.0405 0.0321 0.0211 0.0088]	0.0321	2	0.8538	0	0.0405	1
11	affected	Lucas arrastró un soldado durante un buen rato.	un	['al', 'el', 'un', 'a', 'del']	[0.8447 0.0774 0.032  0.0201 0.0036]	0.8447	0	0.0774	1	0.032	2
12	affected	Claudia maltrató una compañera durante varios años.	una	['su', 'la', 'a', 'una', 'sua']	[0.8373 0.1008 0.0198 0.0066 0.0041]	0.0198	2	0.1008	1	0.0066	3
13	affected	Hugo apaleó un rebelde durante varios minutos.	un	['al', 'el', 'a', 'Hugo', 'la']	[0.7662 0.1106 0.0424 0.018  0.01  ]	0.7662	0	0.1106	1	0.0089	5
14	affected	Carla asedió una contrincante durante bastante tiempo.	una	['al', 'el', 'su', 'a', 'la']	[0.6347 0.1028 0.0796 0.0712 0.0304]	0.6347	0	0.1028	1	0.0193	5
15	affected	Daniel remolcó un enfermo durante algunos minutos.	un	['al', 'el', 'Daniel', 'lo', 'a']	[0.4301 0.2446 0.0597 0.0477 0.0314]	0.4301	0	0.2446	1	0.0059	8
16	affected	Coral guio un turista durante toda la mañana.	un	['al', 'el', 'del', 'a', 'la']	[0.8473 0.0792 0.0151 0.0131 0.0084]	0.8473	0	0.0792	1	0.0012	10
17	nonaffected	Carlos vigiló un bebé durante unos minutos.	un	['el', 'al', 'un', 'del', 'su']	[0.7954 0.1432 0.0151 0.0111 0.0109]	0.1432	1	0.7954	0	0.0151	2
