id	input_sentence	masked	top_fillers	probabilities
1	[CLS] Felipe eliminó a [MASK] rehén en pocos segundos. [SEP]	['un']	[['un', 'Felipe', 'su', 'el', 'este']]	[[0.3151 0.2262 0.1542 0.0865 0.025 ]]
2	[CLS] Amaya neutralizó a [MASK] enemigo en cinco minutos. [SEP]	['un']	[['el', 'su', 'lo', 'un', 'este']]	[[0.3103 0.1716 0.0919 0.0779 0.0502]]
3	[CLS] Joaquín abatió a [MASK] contrincante en unos minutos. [SEP]	['un']	[['su', 'el', 'un', 'la', 'Joaquín']]	[[0.3586 0.1918 0.1322 0.121  0.0309]]
4	[CLS] Martina arrolló a [MASK] peatón en cuestión de segundos. [SEP]	['un']	[['un', 'el', 'su', 'otro', 'del']]	[[0.693  0.0757 0.0531 0.0258 0.0181]]
5	[CLS] Carlos derribó a [MASK] futbolista en dos segundos. [SEP]	['un']	[['un', 'o', 'el', 'outro', 'otro']]	[[0.23   0.1173 0.1086 0.0503 0.0414]]
6	[CLS] Lucía destrozó a [MASK] oponente en dos asaltos. [SEP]	['un']	[['su', 'un', 'el', 'lo', 'la']]	[[0.7846 0.0425 0.0288 0.0274 0.0193]]
7	[CLS] Mateo quemó a [MASK] bruja en poco más de media hora. [SEP]	['una']	[['la', 'una', 'La', 'su', 'esta']]	[[0.9329 0.037  0.0032 0.003  0.0026]]
8	[CLS] Valentina venció a [MASK] adversario en menos de una hora. [SEP]	['un']	[['un', 'su', 'el', 'otro', 'este']]	[[0.4937 0.3893 0.0331 0.0054 0.005 ]]
9	[CLS] Luis zarandeó a [MASK] hombre durante algunos minutos. [SEP]	['un']	[['un', 'el', 'otro', 'este', 'su']]	[[0.3122 0.1774 0.1065 0.0668 0.0601]]
10	[CLS] María transportó a [MASK] mochilero durante todo el día. [SEP]	['un']	[['un', 'el', 'su', 'este', 'María']]	[[0.2183 0.1498 0.1419 0.0649 0.0415]]
11	[CLS] Lucas arrastró a [MASK] soldado durante un buen rato. [SEP]	['un']	[['un', 'la', 'el', 'otro', 'este']]	[[0.6974 0.0571 0.0437 0.0432 0.0412]]
12	[CLS] Claudia maltrató a [MASK] compañera durante varios años. [SEP]	['una']	[['su', 'la', 'una', 'sus', 'sua']]	[[0.8611 0.0967 0.0132 0.004  0.0039]]
13	[CLS] Hugo apaleó a [MASK] rebelde durante varios minutos. [SEP]	['un']	[['Hugo', 'la', 'un', 'el', 'lo']]	[[0.7748 0.0666 0.026  0.0189 0.0164]]
14	[CLS] Carla asedió a [MASK] contrincante durante bastante tiempo. [SEP]	['una']	[['su', 'la', 'un', 'Carla', 'el']]	[[0.5361 0.1517 0.0839 0.048  0.0174]]
15	[CLS] Daniel remolcó a [MASK] enfermo durante algunos minutos. [SEP]	['un']	[['Daniel', 'el', 'un', 'lo', 'su']]	[[0.9164 0.0126 0.0077 0.0073 0.0022]]
16	[CLS] Coral guio a [MASK] turista durante toda la mañana. [SEP]	['un']	[['la', 'un', 'el', 'al', 'este']]	[[0.3082 0.3007 0.0584 0.0382 0.0339]]
