id	condition	input_sentence	score_dom	score_unmarked	discrepancy
123	animate-human	La cebra que ensució (a) la turista descansaba plácidamente.	0.1964	0.1094	0.08693503588438034
124	animate-human	La cabra que empujó (a) la pastora respiraba velozmente.	0.1956	0.1075	0.088079534471035
125	animate-human	La serpiente que detestaba (a) la veterinaria entró sigilosamente.	0.1774	0.1092	0.06820955872535706
126	animate-human	La leoparda que oyó (a) la dueña corrió repentinamente.	0.1812	0.1056	0.07560750842094421
127	animate-human	El pony que buscaba al/el jinete chillaba tristemente.	0.092	0.0945	-0.0024795830249786377
128	animate-human	El león que mató al/el cazador caminaba lentamente.	0.1101	0.1101	5.892664194107056e-05
129	animate-human	El caballo que miraba al/el cuidador gruñía desconsoladamente.	0.0928	0.091	0.0018269270658493042
130	animate-human	El tigre que atacó al/el domador dormía tranquilamente.	0.1109	0.1107	0.0001237615942955017
131	animate-human	El loro que observó al/el cantante cantaba claramente.	0.0958	0.0961	-0.0002319812774658203
132	animate-human	Las panteras que atacaron (a) las empleadas descansaban tranquilamente.	0.1995	0.1111	0.08837750554084778
133	animate-human	Las burras que pisaron (a) las mujeres gruñían claramente.	0.1079	0.0898	0.018065854907035828
134	animate-human	Las conejas que olieron (a) las chicas saltaban continuamente.	0.1824	0.11	0.07246138900518417
135	animate-human	Las gallinas que detestaban (a) las señoras comían lentamente.	0.1922	0.1096	0.08261583745479584
136	animate-human	Las lobas que empujaron (a) las ecólogas salieron repentinamente.	0.1977	0.1097	0.08798748254776001
137	animate-human	Los pájaros que miraban (a) los críos cantaban alegremente.	0.1905	0.1013	0.08919568359851837
138	animate-human	Los delfines que mataron (a) los pescadores gemían fuertemente.	0.196	0.106	0.09005522727966309
139	animate-human	Los cocodrilos que vieron (a) los asistentes nadaban frenéticamente.	0.1717	0.1105	0.061169348657131195
140	animate-human	Los flamencos que escucharon (a) los ayudantes dormían felizmente.	0.1831	0.1104	0.07263384759426117
105	animate-animal	La artista que pisó (a) la perra andaba sigilosamente.	0.1891	0.1069	0.08218275755643845
106	animate-animal	La bióloga que abrazó (a) la gorila sonreía incesantemente.	0.1964	0.1048	0.09162843972444534
107	animate-animal	La voluntaria que tocó (a) la tortuga bebía continuamente.	0.1952	0.1094	0.0858193039894104
108	animate-animal	La ciclista que vio (a) la vaca comía distraídamente.	0.1878	0.1099	0.07793673872947693
109	animate-animal	La granjera que olió (a) la cerda salió inesperadamente.	0.1824	0.1099	0.07249319553375244
110	animate-animal	El entrenador que escuchó al/el delfín nadaba rápidamente.	0.1098	0.1087	0.0011001601815223694
111	animate-animal	El conductor que persiguió al/el camello paseaba felizmente.	0.1104	0.1103	7.583945989608765e-05
112	animate-animal	El hombre que adoraba al/el canguro saltaba incesantemente.	0.1076	0.1067	0.0008738189935684204
113	animate-animal	El amo que pegó al/el orangután gemía desconsoladamente.	0.0956	0.0917	0.00392962247133255
114	animate-animal	Las zoólogas que observaron (a) las palomas bebían plácidamente.	0.1181	0.1103	0.007750131189823151
115	animate-animal	Las hermanas que buscaron (a) las gatas entraron inesperadamente.	0.1918	0.1098	0.08196035772562027
116	animate-animal	Las niñas que adoraban (a) las ardillas chillaban alegremente.	0.197	0.1077	0.08930663764476776
117	animate-animal	Las estudiantes que pegaron (a) las monas paseaban tristemente.	0.1948	0.1082	0.0865987092256546
118	animate-animal	Los payasos que abrazaron (a) los chimpancés caminaban rápidamente.	0.1988	0.1103	0.08856047689914703
119	animate-animal	Los trabajadores que perseguían (a) los guepardos corrían velozmente.	0.1979	0.1094	0.08855589479207993
120	animate-animal	Los niños que ensuciaron (a) los macacos sonreían frenéticamente.	0.1941	0.1071	0.08703635632991791
121	animate-animal	Los viejos que oyeron (a) los pollos respiraban fuertemente.	0.1709	0.1035	0.06733652204275131
122	animate-animal	Los técnicos que tocaron (a) los hámsters andaban distraídamente.	0.1768	0.1089	0.06795217096805573
