es  en
la cocina  the kitchen
el inodoro/baño  the toilet
la papa  the potato
el tomate  the tomato
la mesa  the table
el carro  the car
la lechuga  the lettuce
el océano  the ocean
la casa  the house
el autobús  the bus
la luna  the moon
el limón  the lemon
la cama  the bed
el piano  the piano 
la montaña  the mountain
el arroz  the rice
la bicicleta  the bicycle
el libro  the book
la manzana  the apple
el parque  the park
la oficina  the office
el plato  the plate
la nariz  the nose 
el sol  the sun
la iglesia  the church
el video  the video
la fresa  the strawberry
el maíz  the corn
la guitarra  the guitar
el avión  the airplane
la leche  the milk
el huevo  the egg
la carta  the letter
el teléfono  the telephone
la playa  the beach
el viento  the wind
la ropa  the clothes
el tren  the train
la oreja  the ear
el ojo  the eye
