id	sentence	masked	top_fillers	probabilities
51	La artista que pisó a [la manzana] andaba sigilosamente.	['a']	[['en', 'a', 'con', 'de', 'sobre']]	[[0.22473527491092682, 0.18140839040279388, 0.13765817880630493, 0.13425315916538239, 0.10871530324220657]]
52	La bióloga que abrazó a [la silla] sonreía incesantemente.	['a']	[['a', 'sobre', 'en', 'por', 'de']]	[[0.44059255719184875, 0.12593452632427216, 0.0908026173710823, 0.07834956049919128, 0.07740110158920288]]
53	La voluntaria que tocó a [la mesa] bebía continuamente.	['a']	[['a', 'en', 'sobre', 'por', 'de']]	[[0.24166208505630493, 0.21003015339374542, 0.20343992114067078, 0.12381430715322495, 0.09723757207393646]]
54	La ciclista que vio a [la montaña] comía distraídamente.	['a']	[['a', 'en', 'sobre', 'de', 'toda']]	[[0.29272595047950745, 0.27996617555618286, 0.044108398258686066, 0.040821731090545654, 0.027460232377052307]]
55	La granjera que olió a [la cena] salió inesperadamente.	['a']	[['a', 'en', 'de', 'para', 'por']]	[[0.45887842774391174, 0.17199967801570892, 0.1624269336462021, 0.04372087121009827, 0.024319294840097427]]
56	El entrenador que escuchó al [piano] nadaba rápidamente.	['al']	[['el', 'un', 'al', 'este', 'ese']]	[[0.8392409086227417, 0.06218674033880234, 0.02524607442319393, 0.019780846312642097, 0.006726340390741825]]
57	El conductor que persiguió al [coche] paseaba felizmente.	['al']	[['el', 'al', 'en', 'su', 'un']]	[[0.5000886917114258, 0.24963155388832092, 0.06689650565385818, 0.05665944516658783, 0.04170839115977287]]
58	El hombre que adoraba al [sol] saltaba incesantemente.	['al']	[['el', 'al', 'del', 'un', 'su']]	[[0.6765967607498169, 0.30203521251678467, 0.006773204542696476, 0.003041159361600876, 0.0015844939043745399]]
59	El amo que pegó al [armario] gemía desconsoladamente.	['al']	[['el', 'un', 'al', 'del', 'su']]	[[0.6914137601852417, 0.0902026817202568, 0.059328798204660416, 0.016920287162065506, 0.013897703029215336]]
60	Las zoólogas que observaron a [las hoja] bebían plácidamente.	['a']	[['que', 'en', 'a', 'de', 'sobre']]	[[0.26151376962661743, 0.19749510288238525, 0.17645008862018585, 0.15677416324615479, 0.019744282588362694]]
61	Las hermanas que buscaron a [las bicicletas] entraron inesperadamente.	['a']	[['a', 'en', 'de', 'todas', 'para']]	[[0.30911535024642944, 0.11893659830093384, 0.07563669234514236, 0.04548325017094612, 0.03113824874162674]]
62	Las niñas que adoraban a [las fresas] chillaban alegremente.	['a']	[['a', 'con', 'de', 'y', 'que']]	[[0.5519241690635681, 0.11195453256368637, 0.042700327932834625, 0.024317456409335136, 0.019419746473431587]]
63	Las estudiantes que pegaron a [las flores] paseaban tristemente.	['a']	[['a', 'de', 'con', 'por', 'sobre']]	[[0.38253867626190186, 0.2528235614299774, 0.14455753564834595, 0.05014170706272125, 0.03991991654038429]]
64	Los payasos que abrazaron a [los árboles] caminaban rápidamente.	['a']	[['a', 'de', 'sobre', 'en', 'con']]	[[0.3429368734359741, 0.1972769945859909, 0.15757916867733002, 0.07313290238380432, 0.0374840572476387]]
65	Los trabajadores que perseguían a [los autobuses] corrían velozmente.	['a']	[['a', 'con', 'todos', 'hacia', 'en']]	[[0.8375651836395264, 0.03642476722598076, 0.020990563556551933, 0.012817184440791607, 0.011387648060917854]]
66	Los niños que ensuciaron a [los zapatos] sonreían frenéticamente.	['a']	[['a', 'con', 'en', 'de', 'sobre']]	[[0.3286078870296478, 0.2780064046382904, 0.12225313484668732, 0.09261707216501236, 0.025534315034747124]]
67	Los viejos que oyeron a [los aviones] respiraban fuertemente.	['a']	[['a', 'sobre', 'en', 'de', 'con']]	[[0.3973601758480072, 0.12789182364940643, 0.07662806659936905, 0.07620102167129517, 0.07045453041791916]]
68	Los técnicos que tocaron a [los teléfonos] andaban distraídamente.	['a']	[['con', 'a', 'en', 'de', 'por']]	[[0.3729504346847534, 0.22058850526809692, 0.1747218519449234, 0.050640080124139786, 0.034125640988349915]]
