id	condition	input_sentence	masked	top_fillers	probabilities	dom_prob	dom_rank	def_prob	def_rank	indef_prob	indef_rank
125	affected	Felipe eliminó un rehén en pocos segundos.	un	['al', 'el', 'un', 'la', 'su']	[0.9418 0.0255 0.0132 0.0064 0.0031]	0.9418	0	0.0255	1	0.0132	2
126	affected	Amaya neutralizó un enemigo en cinco minutos.	un	['al', 'el', 'su', 'fuego', 'a']	[0.9325 0.0477 0.0047 0.003  0.0026]	0.9325	0	0.0477	1	0.0024	5
127	affected	Joaquín abatió un contrincante en unos minutos.	un	['al', 'su', 'un', 'el', 'otro']	[0.5857 0.3033 0.0449 0.0225 0.0194]	0.5857	0	0.0225	3	0.0449	2
128	affected	Martina arrolló un peatón en cuestión de segundos.	un	['al', 'un', 'el', 'otro', 'a']	[0.702  0.2761 0.0115 0.0032 0.0024]	0.702	0	0.0115	2	0.2761	1
129	affected	Carlos derribó un futbolista en dos segundos.	un	['al', 'el', 'a', 'un', 'del']	[0.9843 0.0082 0.003  0.0017 0.0007]	0.9843	0	0.0082	1	0.0017	3
130	affected	Lucía destrozó un oponente en dos asaltos.	un	['al', 'su', 'el', 'un', 'otro']	[0.5621 0.3897 0.0212 0.016  0.0029]	0.5621	0	0.0212	2	0.016	3
131	affected	Mateo quemó una bruja en poco más de media hora.	una	['la', 'una', 'su', 'esa', 'esta']	[0.7655 0.0983 0.0549 0.0136 0.0095]	0.0078	5	0.7655	0	0.0983	1
132	affected	Valentina venció un adversario en menos de una hora.	un	['al', 'su', 'el', 'a', 'un']	[0.5305 0.4339 0.0077 0.0068 0.0053]	0.5305	0	0.0077	2	0.0053	4
133	affected	Luis zarandeó un hombre durante algunos minutos.	un	['al', 'el', 'del', 'su', 'un']	[0.9085 0.0389 0.0167 0.0109 0.0068]	0.9085	0	0.0389	1	0.0068	4
134	affected	María transportó un mochilero durante todo el día.	un	['al', 'el', 'a', 'un', 'su']	[0.9592 0.0213 0.0062 0.0047 0.0014]	0.9592	0	0.0213	1	0.0047	3
135	affected	Lucas arrastró un soldado durante un buen rato.	un	['al', 'el', 'su', 'un', 'a']	[0.8992 0.0709 0.0058 0.0055 0.0038]	0.8992	0	0.0709	1	0.0055	3
136	affected	Claudia maltrató una compañera durante varios años.	una	['su', 'a', 'una', 'como', 'la']	[0.7476 0.0646 0.04   0.0394 0.0227]	0.0646	1	0.0227	4	0.04	2
137	affected	Hugo apaleó un rebelde durante varios minutos.	un	['al', 'el', 'a', 'la', 'un']	[0.942  0.0175 0.0164 0.0122 0.0016]	0.942	0	0.0175	1	0.0016	4
138	affected	Carla asedió una contrincante durante bastante tiempo.	una	['al', 'su', 'el', 'un', 'como']	[0.4452 0.4206 0.0307 0.0287 0.0221]	0.4452	0	0.0307	2	0.0287	3
139	affected	Daniel remolcó un enfermo durante algunos minutos.	un	['al', 'el', 'la', 'su', 'a']	[0.5647 0.2043 0.0511 0.05   0.0314]	0.5647	0	0.2043	1	0.0105	5
140	affected	Coral guio un turista durante toda la mañana.	un	['al', 'el', 'de', 'un', 'a']	[0.9411 0.0136 0.0098 0.0068 0.006 ]	0.9411	0	0.0136	1	0.0068	3
