id	condition	input_sentence	masked	top_fillers	probabilities
141	definite	Gonzalo mató [MASK] mujer en el parque .	la	['una', 'la', 'su', 'otra', 'a']	[0.6433 0.15   0.1106 0.0321 0.0275]
142	definite	Patricio lesionó [MASK] camarera en la discoteca .	la	['la', 'su', 'una', 'a', 'al']	[0.7247 0.1108 0.0993 0.0207 0.0094]
143	definite	Carolina golpeó [MASK] jugadora en el vestuario .	la	['la', 'una', 'a', 'al', 'su']	[0.828  0.1047 0.0272 0.0085 0.0061]
144	definite	Elena cuidó [MASK] paciente durante dos semanas .	la	['o', 'el', 'al', 'a', 'ao']	[0.2373 0.1151 0.086  0.0827 0.0786]
145	definite	Irene acusó [MASK] secretaria general en la asamblea .	la	['la', 'de', 'a', 'una', 'Irene']	[0.1898 0.1852 0.1521 0.0836 0.076 ]
146	definite	Cecilia denunció [MASK] mujer en la comisaría de policía .	la	['una', 'a', 'su', 'la', 'otra']	[0.5142 0.1206 0.1022 0.0623 0.0474]
147	definite	Josefina vio [MASK] pastora en el parque .	la	['la', 'una', 'el', 'un', 'a']	[0.6603 0.288  0.0098 0.0072 0.0071]
148	definite	Julio oyó [MASK] madre desde la cocina .	la	['su', 'la', 'una', 'a', 'de']	[0.8742 0.0778 0.0079 0.0069 0.0033]
149	indefinite	Pablo mató [MASK] mujer durante el secuestro .	una	['la', 'una', 'su', 'a', 'otra']	[0.4846 0.2655 0.084  0.0529 0.0183]
150	indefinite	Alberto lesionó [MASK] adversaria en el partido de la semana pasada .	una	['su', 'la', 'una', 'otra', 'a']	[0.4568 0.3568 0.0709 0.0206 0.0168]
151	indefinite	Andrea golpeó [MASK] fotógrafa a la salida del restaurante .	una	['la', 'una', 'a', 'un', 'al']	[0.6438 0.2866 0.0153 0.0105 0.0103]
152	indefinite	Javier cuidó [MASK] paciente con gran profesionalidad .	una	['al', 'del', 'el', 'un', 'de']	[0.5574 0.1885 0.0594 0.0423 0.0302]
153	indefinite	Laura acusó [MASK] trabajadora en la reunión .	una	['de', 'a', 'la', 'una', 'ser']	[0.3182 0.1776 0.0921 0.0659 0.0591]
154	indefinite	Carlos denunció [MASK] camarera tras una disputa .	una	['como', 'a', 'la', 'al', 'una']	[0.3021 0.2623 0.1938 0.0905 0.035 ]
155	indefinite	Ana vio [MASK] política en la tienda del barrio .	una	['la', 'vio', 'una', 'en', 'su']	[0.4408 0.2088 0.0887 0.0191 0.0143]
156	indefinite	Esther oyó [MASK] niña en el apartamento de al lado .	una	['la', 'una', 'a', 'otra', 'un']	[0.5072 0.4282 0.0289 0.0153 0.0035]
