id	sentence	masked	top_fillers	probabilities
51	La artista que pisó a [la perra] andaba sigilosamente.	['a']	[['con', 'a', 'de', 'por', 'en']]	[[0.31441986560821533, 0.14670993387699127, 0.14087550342082977, 0.08579544723033905, 0.07544810324907303]]
52	La bióloga que abrazó a [la gorila] sonreía incesantemente.	['a']	[['a', 'con', 'de', 'sobre', ',']]	[[0.941470742225647, 0.012536032125353813, 0.008995183743536472, 0.004064117558300495, 0.0036397764924913645]]
53	La voluntaria que tocó a [la tortuga] bebía continuamente.	['a']	[['con', 'sobre', 'a', 'contra', 'y']]	[[0.37677255272865295, 0.1412813514471054, 0.13930962979793549, 0.058221787214279175, 0.04405461251735687]]
54	La ciclista que vio a [la vaca] comía distraídamente.	['a']	[['a', 'en', 'con', 'de', 'vio']]	[[0.16102556884288788, 0.11880076676607132, 0.07250187546014786, 0.038144130259752274, 0.03553898632526398]]
55	La granjera que olió a [la cerda] salió inesperadamente.	['a']	[['de', 'en', 'a', 'con', 'sobre']]	[[0.26753076910972595, 0.2264678180217743, 0.154731884598732, 0.09951749444007874, 0.052403438836336136]]
56	El entrenador que escuchó al [delfín] nadaba rápidamente.	['al']	[['el', 'un', 'al', 'este', 'del']]	[[0.8257764577865601, 0.037499405443668365, 0.03599987179040909, 0.026130910962820053, 0.025961779057979584]]
57	El conductor que persiguió al [camello] paseaba felizmente.	['al']	[['el', 'al', 'un', 'su', 'del']]	[[0.4332210421562195, 0.3795885443687439, 0.059502970427274704, 0.026045048609375954, 0.026034221053123474]]
58	El hombre que adoraba al [canguro] saltaba incesantemente.	['al']	[['el', 'al', 'un', 'del', 'su']]	[[0.6755315065383911, 0.27050408720970154, 0.0073206666857004166, 0.004888810683041811, 0.004060073290020227]]
59	El amo que pegó al [orangután] gemía desconsoladamente.	['al']	[['el', 'al', 'un', 'a', 'del']]	[[0.48807430267333984, 0.33728697896003723, 0.08002486079931259, 0.017850035801529884, 0.008133900351822376]]
60	Las zoólogas que observaron a [las palomas] bebían plácidamente.	['a']	[['que', 'en', 'a', 'de', 'con']]	[[0.518476665019989, 0.11182484030723572, 0.09512189030647278, 0.07121549546718597, 0.02156601846218109]]
61	Las hermanas que buscaron a [las gatas] entraron inesperadamente.	['a']	[['a', 'y', 'de', 'para', 'con']]	[[0.8675742745399475, 0.014039918780326843, 0.013934208080172539, 0.01382562518119812, 0.005493205972015858]]
62	Las niñas que adoraban a [las ardillas] chillaban alegremente.	['a']	[['a', 'con', 'de', 'y', 'por']]	[[0.8641916513442993, 0.059700801968574524, 0.0091211823746562, 0.006433743052184582, 0.005906074773520231]]
63	Las estudiantes que pegaron a [las monas] paseaban tristemente.	['a']	[['a', 'de', 'por', 'sobre', 'y']]	[[0.8419808149337769, 0.02235950529575348, 0.020298771560192108, 0.0180036723613739, 0.017216913402080536]]
64	Los payasos que abrazaron a [los chimpancés] caminaban rápidamente.	['a']	[['a', 'de', 'con', 'hacia', 'sobre']]	[[0.9217652082443237, 0.021213997155427933, 0.012192528694868088, 0.00784576591104269, 0.007069528568536043]]
65	Los trabajadores que perseguían a [los guepardos] corrían velozmente.	['a']	[['a', 'todos', 'con', 'de', 'por']]	[[0.9294136762619019, 0.017524635419249535, 0.007999318651854992, 0.007251788396388292, 0.006492821499705315]]
66	Los niños que ensuciaron a [los macacos] sonreían frenéticamente.	['a']	[['a', 'con', 'de', 'en', 'sobre']]	[[0.8705363273620605, 0.04729226976633072, 0.03203301504254341, 0.01209881529211998, 0.005264858715236187]]
67	Los viejos que oyeron a [los pollos] respiraban fuertemente.	['a']	[['y', 'a', 'sobre', 'con', 'de']]	[[0.30724623799324036, 0.2524419128894806, 0.08927801996469498, 0.07422974705696106, 0.05056499317288399]]
68	Los técnicos que tocaron a [los hámsters] andaban distraídamente.	['a']	[['a', 'con', 'en', 'de', 'todos']]	[[0.465230792760849, 0.16250023245811462, 0.13022740185260773, 0.04220874607563019, 0.03573276847600937]]
