input	experiment_type	model	filler_type	mean_prob	std_prob	median_prob	mean_rank
hg-2023_affected	dobject-masking-unmarked-mask_det	mBERT	dom	0.4813	0.3125	0.5416	0.625
hg-2023_affected	dobject-masking-unmarked-mask_det	mBERT	def	0.3217	0.2966	0.199	0.875
hg-2023_affected	dobject-masking-unmarked-mask_det	mBERT	indef	0.0163	0.0204	0.0072	3.4375
hg-2023_nonaffected	dobject-masking-unmarked-mask_det	mBERT	dom	0.231	0.2867	0.1248	2.3125
hg-2023_nonaffected	dobject-masking-unmarked-mask_det	mBERT	def	0.2676	0.2661	0.169	1.3125
hg-2023_nonaffected	dobject-masking-unmarked-mask_det	mBERT	indef	0.0806	0.0857	0.0724	2.5625
ms-2013_animate	dobject-masking-unmarked-mask_det	mBERT	dom	0.1302	0.1348	0.0802	2.375
ms-2013_animate	dobject-masking-unmarked-mask_det	mBERT	def	0.1998	0.2194	0.0966	1.625
ms-2013_animate	dobject-masking-unmarked-mask_det	mBERT	indef	0.2112	0.2421	0.1417	2.25
ms-2013_inanimate	dobject-masking-unmarked-mask_det	mBERT	dom	0.0241	0.0535	0.0	4.16
ms-2013_inanimate	dobject-masking-unmarked-mask_det	mBERT	def	0.2579	0.3073	0.1756	2.4
ms-2013_inanimate	dobject-masking-unmarked-mask_det	mBERT	indef	0.0836	0.1424	0.0151	3.12
sa-2020_animate	dobject-masking-unmarked-mask_det	mBERT	dom	0.0804	0.1744	0.0192	2.5926
sa-2020_animate	dobject-masking-unmarked-mask_det	mBERT	def	0.7517	0.2099	0.8179	0.037
sa-2020_animate	dobject-masking-unmarked-mask_det	mBERT	indef	0.0204	0.0341	0.0	3.7037
re-2021_indefinite	dobject-masking-unmarked-mask_det	mBERT	dom	0.3512	0.2649	0.3411	1.375
re-2021_indefinite	dobject-masking-unmarked-mask_det	mBERT	def	0.1735	0.1752	0.0973	1.875
re-2021_indefinite	dobject-masking-unmarked-mask_det	mBERT	indef	0.1427	0.1218	0.1161	2.25
self-re_definite	dobject-masking-unmarked-mask_det	mBERT	dom	0.056	0.0524	0.0274	2.625
self-re_definite	dobject-masking-unmarked-mask_det	mBERT	def	0.351	0.3047	0.1699	0.75
self-re_definite	dobject-masking-unmarked-mask_det	mBERT	indef	0.2176	0.2264	0.102	1.75
self-re_indefinite	dobject-masking-unmarked-mask_det	mBERT	dom	0.1389	0.1806	0.0409	2.25
self-re_indefinite	dobject-masking-unmarked-mask_det	mBERT	def	0.3473	0.1977	0.3988	0.875
self-re_indefinite	dobject-masking-unmarked-mask_det	mBERT	indef	0.1604	0.1371	0.0798	2.125
self-sa_inanimate	dobject-masking-unmarked-mask_det	mBERT	dom	0.0158	0.0272	0.0035	3.6429
self-sa_inanimate	dobject-masking-unmarked-mask_det	mBERT	def	0.8321	0.1191	0.8767	0.0
self-sa_inanimate	dobject-masking-unmarked-mask_det	mBERT	indef	0.041	0.0689	0.006	3.1429
