id	condition	input_sentence	masked	top_fillers	probabilities	dom_prob	dom_rank	def_prob	def_rank	indef_prob	indef_rank
2	animate	La abuela recibió a los niños.	los	['los', 'las', 'estos', 'niños', 'cuatro']	[0.7504 0.0331 0.019  0.0073 0.007 ]	0.0011	46	0.7504	0	0.0015	34
5	animate	El ladrón secuestró a la señora.	la	['la', 'una', 'su', 'otra', 'La']	[0.7759 0.1919 0.0065 0.0045 0.0038]	0.0005	9	0.7759	0	0.1919	1
6	animate	Snoopy miró a su amigo.	su	['un', 'su', 'seu', 'ser', 'mi']	[0.4886 0.1761 0.0262 0.016  0.0152]	0.0034	18	0.0063	8	0.4886	0
19	animate	El niño visitó a su abuela.	su	['su', 'la', 'una', 'sus', 'Su']	[0.5341 0.253  0.1767 0.0038 0.0033]	0.0003	22	0.253	1	0.1767	2
22	animate	La familia acogió a la inmigrante.	la	['un', 'otro', 'la', 'una', 'lo']	[0.7298 0.0948 0.0295 0.0253 0.0129]	0.0014	15	0.0295	2	0.7298	0
24	animate	Cristina saludó a los novios.	los	['los', 'sus', 'su', 'nuestros', 'mis']	[0.583  0.375  0.006  0.0043 0.0021]	0.0001	48	0.583	0	0.0005	15
25	animate	El bandido secuestró a la mujer.	la	['una', 'la', 'otra', 'su', 'esa']	[0.6635 0.2417 0.046  0.0197 0.0068]	0.0003	14	0.2417	1	0.6635	0
29	inanimate	Alejandra escuchó a la música.	la	['la', 'una', 'mucha', 'su', 'gran']	[0.9647 0.0064 0.0022 0.0021 0.0015]	0.0003	18	0.9647	0	0.0064	1
30	inanimate	Blanca Nieves comió a la manzana.	la	['la', 'una', 'La', 'a', 'lo']	[0.8552 0.0333 0.0051 0.004  0.0028]	0.004	3	0.8552	0	0.0333	1
31	inanimate	El niño aprendío a las matemáticas.	las	['las', 'aprender', 'estudiar', 'los', 'tener']	[0.8151 0.0567 0.0122 0.0121 0.0101]	0.0001	148	0.8151	0	0.0046	7
32	inanimate	Antonio bebió a un refresco.	un	['un', 'lo', 'este', 'otro', 'su']	[0.5608 0.0372 0.0289 0.028  0.0225]	0.0045	14	0.0109	7	0.5608	0
33	inanimate	Alfonso arregló a la bicicleta.	la	['la', 'una', 'su', 'un', 'otra']	[0.7903 0.1295 0.0212 0.0047 0.004 ]	0.0019	5	0.7903	0	0.1295	1
36	inanimate	El niño tocó a la planta.	la	['la', 'una', 'su', 'otra', 'esta']	[0.596  0.2335 0.0313 0.0291 0.0205]	0.0006	26	0.596	0	0.2335	1
40	inanimate	Miguel vio a la pelota.	la	['uma', 'a', 'sua', 'outra', 'da']	[0.3253 0.1089 0.0851 0.0478 0.0358]	0.1089	1	0.0194	5	0.0023	29
43	inanimate	Julián tocó a la planta.	la	['la', 'segunda', 'esta', 'primera', 'primeira']	[0.2511 0.1237 0.0722 0.0574 0.0434]	0.007	11	0.2511	0	0.0409	5
47	inanimate	Victor vio a la pelota.	la	['uma', 'sua', 'a', 'da', 'primeira']	[0.256  0.1035 0.0729 0.0294 0.0209]	0.0729	2	0.0091	11	0.0007	115
51	inanimate	Alfonso arregló a la bicicleta roja.	la	['la', 'una', 'su', 'un', 'a']	[0.5554 0.356  0.0212 0.0108 0.0033]	0.0033	4	0.5554	0	0.356	1
52	inanimate	Antonio bebió a la coca cola.	la	['la', 'una', 'su', 'cola', 'esta']	[0.9107 0.0343 0.0077 0.0027 0.0026]	0.0014	9	0.9107	0	0.0343	1
53	inanimate	Estefanía compró a un auto.	un	['un', 'la', 'auto', 'o', 'este']	[0.2384 0.0827 0.0761 0.0355 0.0344]	0.0133	10	0.0827	1	0.2384	0
55	inanimate	Carlos leyó a una novela.	una	['la', 'esta', '.', 'una', 'La']	[0.6235 0.0228 0.0119 0.0109 0.0107]	0.0046	12	0.6235	0	0.0109	3
