id	condition	input_sentence	masked	top_fillers	probabilities
1	affected	Felipe eliminó a [MASK] rehén en pocos segundos .	un	['un', 'su', 'la', 'los', 'otro']	[0.3802 0.2093 0.1845 0.0433 0.0419]
2	affected	Amaya neutralizó a [MASK] enemigo en cinco minutos .	un	['su', 'un', 'nuestro', 'cualquier', 'fuego']	[0.8378 0.058  0.0213 0.0155 0.0118]
3	affected	Joaquín abatió a [MASK] contrincante en unos minutos .	un	['su', 'un', 'otro', 'sus', 'cualquier']	[0.9352 0.0346 0.0221 0.001  0.0009]
4	affected	Martina arrolló a [MASK] peatón en cuestión de segundos .	un	['un', 'otro', 'su', 'algún', 'una']	[0.9691 0.022  0.0025 0.0014 0.0007]
5	affected	Carlos derribó a [MASK] futbolista en dos segundos .	un	['un', 'la', 'otro', 'este', 'los']	[0.7099 0.0775 0.0683 0.0218 0.0171]
6	affected	Lucía destrozó a [MASK] oponente en dos asaltos .	un	['su', 'un', 'otro', 'este', 'sus']	[0.9787 0.0147 0.0021 0.0008 0.0005]
7	affected	Mateo quemó a [MASK] bruja en poco más de media hora .	una	['la', 'una', 'su', 'esa', 'esta']	[0.8114 0.1466 0.0188 0.0066 0.0045]
8	affected	Valentina venció a [MASK] adversario en menos de una hora .	un	['su', 'un', 'otro', 'cada', 'este']	[0.9907 0.0046 0.001  0.0008 0.0006]
9	affected	Luis zarandeó a [MASK] hombre durante algunos minutos .	un	['su', 'un', 'este', 'ese', 'otro']	[0.5971 0.2142 0.0751 0.0313 0.0245]
10	affected	María transportó a [MASK] mochilero durante todo el día .	un	['su', 'un', 'este', 'cada', 'ese']	[0.3435 0.2184 0.1993 0.0597 0.041 ]
11	affected	Lucas arrastró a [MASK] soldado durante un buen rato .	un	['su', 'un', 'este', 'la', 'ese']	[0.2908 0.2326 0.1341 0.0855 0.0765]
12	affected	Claudia maltrató a [MASK] compañera durante varios años .	una	['su', 'una', 'la', 'esta', 'esa']	[0.9097 0.049  0.0163 0.0109 0.0028]
13	affected	Hugo apaleó a [MASK] rebelde durante varios minutos .	un	['la', 'un', 'los', 'este', 'su']	[0.3153 0.2303 0.0762 0.037  0.0216]
14	affected	Carla asedió a [MASK] contrincante durante bastante tiempo .	una	['su', 'un', 'la', 'una', 'otro']	[0.9714 0.0125 0.0034 0.0022 0.0015]
15	affected	Daniel remolcó a [MASK] enfermo durante algunos minutos .	un	['un', 'su', 'los', 'la', '[UNK]']	[0.1795 0.0837 0.0633 0.0575 0.0296]
16	affected	Coral guio a [MASK] turista durante toda la mañana .	un	['cada', 'un', 'la', 'este', 'los']	[0.2889 0.2318 0.2181 0.1094 0.0271]
17	nonaffected	Carlos vigiló a [MASK] bebé durante unos minutos .	un	['la', 'su', 'un', 'los', 'ese']	[0.5578 0.3406 0.028  0.0135 0.0104]
18	nonaffected	Irene oyó a [MASK] niña durante horas .	una	['la', 'una', 'su', 'esta', 'esa']	[0.959  0.0168 0.0101 0.0041 0.0038]
19	nonaffected	Pablo tuvo a [MASK] ayudante durante varios años .	un	['su', 'un', 'este', '[UNK]', 'una']	[0.6066 0.1477 0.0498 0.0216 0.013 ]
20	nonaffected	Isabel vio a [MASK] estudiante durante toda la mañana .	un	['la', 'un', 'su', 'una', 'cada']	[0.2612 0.2575 0.1474 0.0631 0.0307]
21	nonaffected	Unai amó a [MASK] joven durante varios años .	una	['la', 'una', 'este', 'un', 'esta']	[0.7048 0.0719 0.0539 0.0474 0.0409]
22	nonaffected	Valeria admiró a [MASK] cantante durante toda su vida .	un	['la', 'esta', 'este', 'su', 'esa']	[0.8416 0.0615 0.0529 0.0229 0.005 ]
23	nonaffected	Adrián percibió a [MASK] mujer durante algunos minutos .	una	['la', 'una', 'su', 'otra', 'esta']	[0.4901 0.3087 0.1083 0.0317 0.0229]
24	nonaffected	Emma investigó a [MASK] político durante varias semanas .	un	['un', 'este', 'ese', 'su', '[UNK]']	[0.2115 0.138  0.0658 0.0438 0.0245]
25	nonaffected	Ismael encontró a [MASK] conocido en cuestión de segundos .	un	['su', 'un', 'otro', 'este', 'ese']	[0.5901 0.3207 0.0223 0.0154 0.0085]
26	nonaffected	Sofía conoció a [MASK] chico en un par de días .	un	['un', 'este', 'ese', 'otro', 'su']	[0.4774 0.3377 0.1169 0.0296 0.0094]
27	nonaffected	Martín detectó a [MASK] intruso en un par de minutos .	un	['un', 'su', 'otro', 'este', 'ese']	[0.7483 0.0952 0.076  0.0204 0.0096]
28	nonaffected	Elena localizó a [MASK] amiga al cabo de dos horas .	una	['su', 'una', 'la', 'mi', 'sus']	[0.8192 0.0849 0.0674 0.0038 0.0031]
29	nonaffected	Alejandro identificó a [MASK] agresor en menos de dos minutos .	un	['su', 'un', 'este', 'cada', 'otro']	[0.9606 0.0255 0.0026 0.0017 0.0016]
30	nonaffected	Marta descartó a [MASK] aspirante en un minuto .	un	['la', 'un', 'su', 'una', 'cada']	[0.5597 0.1072 0.0804 0.0451 0.0441]
31	nonaffected	Samuel descubrió a [MASK] infiltrado en un par de días .	un	['su', 'un', 'nuestro', 'alguien', 'este']	[0.4081 0.3289 0.1152 0.0405 0.0247]
32	nonaffected	Alba mencionó a [MASK] actor tras varios minutos de reflexión .	un	['su', 'este', 'dicho', 'ese', 'un']	[0.3772 0.361  0.0609 0.0438 0.0421]
